GEO_NAME,COUNT_TOTAL,COUNT_MEN,COUNT_WOMEN,Level,age_groups
St. John's,9135,4715,4420,2,0 to 4 years
St. John's,10775,5510,5265,2,5 to 9 years
St. John's,11655,5975,5680,2,10 to 14 years
St. John's,11235,5780,5455,2,15 to 19 years
St. John's,13645,7080,6565,2,20 to 24 years
St. John's,13605,6765,6840,2,25 to 29 years
St. John's,14630,7250,7380,2,30 to 34 years
St. John's,15020,7400,7625,2,35 to 39 years
St. John's,14735,7065,7675,2,40 to 44 years
St. John's,14490,7100,7390,2,45 to 49 years
St. John's,14850,7140,7710,2,50 to 54 years
St. John's,15570,7400,8170,2,55 to 59 years
St. John's,14610,7015,7595,2,60 to 64 years
St. John's,12870,6115,6760,2,65 to 69 years
St. John's,10645,4875,5770,2,70 to 74 years
St. John's,7185,3255,3935,2,75 to 79 years
St. John's,4325,1835,2490,2,80 to 84 years
St. John's,3585,1210,2380,2,85 years and over
Grand Falls-Windsor,545,285,260,2,0 to 4 years
Grand Falls-Windsor,625,290,335,2,5 to 9 years
Grand Falls-Windsor,760,395,365,2,10 to 14 years
Grand Falls-Windsor,725,370,360,2,15 to 19 years
Grand Falls-Windsor,675,345,330,2,20 to 24 years
Grand Falls-Windsor,620,295,325,2,25 to 29 years
Grand Falls-Windsor,680,320,355,2,30 to 34 years
Grand Falls-Windsor,755,360,395,2,35 to 39 years
Grand Falls-Windsor,850,400,460,2,40 to 44 years
Grand Falls-Windsor,890,430,460,2,45 to 49 years
Grand Falls-Windsor,990,480,510,2,50 to 54 years
Grand Falls-Windsor,1090,535,550,2,55 to 59 years
Grand Falls-Windsor,1180,570,610,2,60 to 64 years
Grand Falls-Windsor,1080,515,565,2,65 to 69 years
Grand Falls-Windsor,910,420,490,2,70 to 74 years
Grand Falls-Windsor,640,285,355,2,75 to 79 years
Grand Falls-Windsor,505,240,265,2,80 to 84 years
Grand Falls-Windsor,330,115,215,2,85 years and over
Gander,565,285,280,2,0 to 4 years
Gander,675,355,325,2,5 to 9 years
Gander,780,410,370,2,10 to 14 years
Gander,800,450,345,2,15 to 19 years
Gander,670,335,335,2,20 to 24 years
Gander,645,325,325,2,25 to 29 years
Gander,780,385,395,2,30 to 34 years
Gander,835,390,445,2,35 to 39 years
Gander,800,375,425,2,40 to 44 years
