GEO_NAME,COUNT_TOTAL,COUNT_MEN,COUNT_WOMEN,immigration_status,period_of_immigration
St. John's,194935,94205,100735,Non-immigrants,0
St. John's,9505,4890,4610,Immigrants,0
St. John's,1820,925,890,Immigrants,Before 1980
St. John's,555,355,195,Immigrants,1980 to 1990
St. John's,705,360,345,Immigrants,1991 to 2000
St. John's,1780,940,840,Immigrants,2001 to 2010
St. John's,4650,2310,2340,Immigrants,2011 to 2021
St. John's,4375,2475,1895,Non-permanent residents,0
Grand Falls-Windsor,13250,6365,6880,Non-immigrants,0
Grand Falls-Windsor,255,130,130,Immigrants,0
Grand Falls-Windsor,90,40,55,Immigrants,Before 1980
Grand Falls-Windsor,25,15,10,Immigrants,1980 to 1990
Grand Falls-Windsor,20,0,10,Immigrants,1991 to 2000
Grand Falls-Windsor,40,20,15,Immigrants,2001 to 2010
Grand Falls-Windsor,90,45,45,Immigrants,2011 to 2021
Grand Falls-Windsor,100,55,45,Non-permanent residents,0
Gander,12695,6205,6490,Non-immigrants,0
Gander,300,165,140,Immigrants,0
Gander,35,0,30,Immigrants,Before 1980
Gander,0,0,0,Immigrants,1980 to 1990
Gander,15,10,0,Immigrants,1991 to 2000
Gander,60,30,30,Immigrants,2001 to 2010
Gander,190,115,75,Immigrants,2011 to 2021
Gander,80,50,25,Non-permanent residents,0
Corner Brook,28160,13615,14540,Non-immigrants,0
Corner Brook,660,355,305,Immigrants,0
Corner Brook,190,100,90,Immigrants,Before 1980
Corner Brook,40,15,20,Immigrants,1980 to 1990
Corner Brook,50,30,20,Immigrants,1991 to 2000
Corner Brook,120,65,60,Immigrants,2001 to 2010
Corner Brook,265,145,120,Immigrants,2011 to 2021
Corner Brook,160,90,70,Non-permanent residents,0
Charlottetown,64980,31235,33745,Non-immigrants,0
Charlottetown,8380,4165,4215,Immigrants,0
Charlottetown,1065,470,595,Immigrants,Before 1980
Charlottetown,435,225,210,Immigrants,1980 to 1990
Charlottetown,460,210,255,Immigrants,1991 to 2000
Charlottetown,1235,615,625,Immigrants,2001 to 2010
Charlottetown,5180,2655,2530,Immigrants,2011 to 2021
Charlottetown,4020,2290,1730,Non-permanent residents,0
Summerside,15965,7575,8385,Non-immigrants,0
Summerside,1075,545,530,Immigrants,0
Summerside,240,120,115,Immigrants,Before 1980
Summerside,70,45,30,Immigrants,1980 to 1990
Summerside,70,30,40,Immigrants,1991 to 2000
Summerside,140,55,80,Immigrants,2001 to 2010
Summerside,550,285,260,Immigrants,2011 to 2021
Summerside,640,330,305,Non-permanent residents,0
Halifax,392615,189995,202615,Non-immigrants,0
Halifax,51485,25630,25855,Immigrants,0
Halifax,8740,4180,4560,Immigrants,Before 1980
Halifax,3550,1730,1820,Immigrants,1980 to 1990
Halifax,4920,2400,2520,Immigrants,1991 to 2000
Halifax,9175,4640,4535,Immigrants,2001 to 2010
Halifax,25100,12675,12420,Immigrants,2011 to 2021
Halifax,17040,9450,7590,Non-permanent residents,0
Kentville,24830,11940,12885,Non-immigrants,0
Kentville,1400,715,690,Immigrants,0
Kentville,490,220,270,Immigrants,Before 1980
Kentville,115,60,55,Immigrants,1980 to 1990
Kentville,135,50,80,Immigrants,1991 to 2000
Kentville,180,90,85,Immigrants,2001 to 2010
Kentville,480,280,200,Immigrants,2011 to 2021
Kentville,370,250,120,Non-permanent residents,0
Truro,42640,20610,22030,Non-immigrants,0
Truro,2090,1065,1030,Immigrants,0
Truro,720,365,355,Immigrants,Before 1980
Truro,185,90,90,Immigrants,1980 to 1990
Truro,230,115,110,Immigrants,1991 to 2000
Truro,320,155,165,Immigrants,2001 to 2010
Truro,640,325,310,Immigrants,2011 to 2021
