GEO_NAME,COUNT_TOTAL,COUNT_MEN,COUNT_WOMEN,income_groups
St. John's,12495,5675,6815,"Under $10,000 (including loss)"
St. John's,19270,8075,11195,"$10,000 to $19,999"
St. John's,26135,11345,14790,"$20,000 to $29,999"
St. John's,21860,9555,12305,"$30,000 to $39,999"
St. John's,19920,8660,11260,"$40,000 to $49,999"
St. John's,15670,7110,8565,"$50,000 to $59,999"
St. John's,12150,6035,6115,"$60,000 to $69,999"
St. John's,9510,5060,4450,"$70,000 to $79,999"
St. John's,7710,4120,3595,"$80,000 to $89,999"
St. John's,6455,3220,3240,"$90,000 to $99,999"
St. John's,19980,13460,6515,"$100,000 and over"
Grand Falls-Windsor,1005,425,580,"Under $10,000 (including loss)"
Grand Falls-Windsor,1625,625,1005,"$10,000 to $19,999"
Grand Falls-Windsor,2100,850,1250,"$20,000 to $29,999"
Grand Falls-Windsor,1675,765,915,"$30,000 to $39,999"
Grand Falls-Windsor,1460,750,710,"$40,000 to $49,999"
Grand Falls-Windsor,955,495,455,"$50,000 to $59,999"
Grand Falls-Windsor,645,385,265,"$60,000 to $69,999"
Grand Falls-Windsor,425,245,175,"$70,000 to $79,999"
Grand Falls-Windsor,280,165,120,"$80,000 to $89,999"
Grand Falls-Windsor,365,185,180,"$90,000 to $99,999"
Grand Falls-Windsor,775,525,250,"$100,000 and over"
Gander,820,320,505,"Under $10,000 (including loss)"
Gander,1360,515,850,"$10,000 to $19,999"
Gander,1655,665,990,"$20,000 to $29,999"
Gander,1495,625,865,"$30,000 to $39,999"
Gander,1275,585,690,"$40,000 to $49,999"
Gander,930,480,455,"$50,000 to $59,999"
Gander,715,430,285,"$60,000 to $69,999"
Gander,560,360,205,"$70,000 to $79,999"
Gander,420,255,170,"$80,000 to $89,999"
Gander,395,205,190,"$90,000 to $99,999"
Gander,1060,730,330,"$100,000 and over"
Corner Brook,1815,730,1085,"Under $10,000 (including loss)"
Corner Brook,3260,1205,2060,"$10,000 to $19,999"
Corner Brook,4235,1825,2415,"$20,000 to $29,999"
Corner Brook,3655,1675,1980,"$30,000 to $39,999"
Corner Brook,3260,1615,1645,"$40,000 to $49,999"
Corner Brook,2420,1245,1170,"$50,000 to $59,999"
Corner Brook,1485,810,675,"$60,000 to $69,999"
Corner Brook,1065,640,430,"$70,000 to $79,999"
Corner Brook,900,510,390,"$80,000 to $89,999"
Corner Brook,725,365,365,"$90,000 to $99,999"
Corner Brook,1630,1050,580,"$100,000 and over"
Charlottetown,4645,2100,2545,"Under $10,000 (including loss)"
Charlottetown,6790,2935,3855,"$10,000 to $19,999"
Charlottetown,10355,4490,5865,"$20,000 to $29,999"
Charlottetown,9675,4510,5165,"$30,000 to $39,999"
Charlottetown,7920,3770,4155,"$40,000 to $49,999"
Charlottetown,6405,3050,3355,"$50,000 to $59,999"
Charlottetown,4750,2540,2210,"$60,000 to $69,999"
Charlottetown,3235,1745,1485,"$70,000 to $79,999"
Charlottetown,2550,1320,1230,"$80,000 to $89,999"
Charlottetown,1865,870,995,"$90,000 to $99,999"
Charlottetown,4320,2745,1570,"$100,000 and over"
Summerside,1040,455,585,"Under $10,000 (including loss)"
Summerside,1835,685,1150,"$10,000 to $19,999"
Summerside,2745,1145,1600,"$20,000 to $29,999"
Summerside,2380,1080,1300,"$30,000 to $39,999"
Summerside,2150,1040,1115,"$40,000 to $49,999"
Summerside,1525,765,760,"$50,000 to $59,999"
Summerside,980,535,440,"$60,000 to $69,999"
Summerside,610,355,255,"$70,000 to $79,999"
Summerside,390,205,185,"$80,000 to $89,999"
Summerside,305,155,155,"$90,000 to $99,999"
Summerside,580,380,205,"$100,000 and over"
Halifax,30610,13655,16950,"Under $10,000 (including loss)"
Halifax,42110,16965,25145,"$10,000 to $19,999"
Halifax,57700,24390,33310,"$20,000 to $29,999"
Halifax,49810,21655,28155,"$30,000 to $39,999"
Halifax,44225,19560,24670,"$40,000 to $49,999"
Halifax,35475,16960,18520,"$50,000 to $59,999"
Halifax,27905,15080,12830,"$60,000 to $69,999"
Halifax,21980,12535,9445,"$70,000 to $79,999"
Halifax,18695,10590,8105,"$80,000 to $89,999"
Halifax,13835,7805,6030,"$90,000 to $99,999"
Halifax,35890,23670,12220,"$100,000 and over"
Kentville,1915,830,1090,"Under $10,000 (including loss)"
Kentville,3060,1200,1860,"$10,000 to $19,999"
