GEO_NAME,COUNT_TOTAL,COUNT_MEN,COUNT_WOMEN,marital_status
St. John's,81265,40540,40725,Married
St. John's,21030,10490,10545,Living common-law
St. John's,54140,28425,25710,Not married and not living common law - Never married
St. John's,4030,1645,2385,Not married and not living common law - Separated
St. John's,10715,4085,6630,Not married and not living common law - Divorced
St. John's,9830,2090,7735,Not married and not living common law - Widowed
Grand Falls-Windsor,5935,2955,2975,Married
Grand Falls-Windsor,1235,610,620,Living common-law
Grand Falls-Windsor,2800,1445,1355,Not married and not living common law - Never married
Grand Falls-Windsor,285,115,170,Not married and not living common law - Separated
Grand Falls-Windsor,760,345,415,Not married and not living common law - Divorced
Grand Falls-Windsor,910,210,700,Not married and not living common law - Widowed
Gander,5745,2870,2875,Married
Gander,1355,685,675,Living common-law
Gander,2610,1410,1200,Not married and not living common law - Never married
Gander,245,100,150,Not married and not living common law - Separated
Gander,610,245,365,Not married and not living common law - Divorced
Gander,830,160,670,Not married and not living common law - Widowed
Corner Brook,12360,6180,6185,Married
Corner Brook,2760,1370,1390,Living common-law
Corner Brook,6745,3475,3265,Not married and not living common law - Never married
Corner Brook,550,225,325,Not married and not living common law - Separated
Corner Brook,1730,700,1025,Not married and not living common law - Divorced
Corner Brook,1865,460,1405,Not married and not living common law - Widowed
Charlottetown,30760,15355,15405,Married
Charlottetown,6675,3330,3345,Living common-law
Charlottetown,19975,10485,9485,Not married and not living common law - Never married
Charlottetown,1720,705,1015,Not married and not living common law - Separated
Charlottetown,3630,1345,2285,Not married and not living common law - Divorced
Charlottetown,3700,795,2900,Not married and not living common law - Widowed
Summerside,6875,3425,3450,Married
Summerside,1590,780,805,Living common-law
Summerside,4210,2240,1965,Not married and not living common law - Never married
Summerside,540,200,335,Not married and not living common law - Separated
Summerside,1065,380,685,Not married and not living common law - Divorced
Summerside,1175,230,945,Not married and not living common law - Widowed
Halifax,173360,86375,86985,Married
Halifax,49850,24905,24945,Living common-law
Halifax,119955,62965,56990,Not married and not living common law - Never married
Halifax,10815,4625,6185,Not married and not living common law - Separated
Halifax,23070,8530,14540,Not married and not living common law - Divorced
Halifax,19315,4200,15110,Not married and not living common law - Widowed
Kentville,10665,5320,5345,Married
Kentville,2775,1380,1395,Living common-law
Kentville,5740,3045,2695,Not married and not living common law - Never married
Kentville,750,295,455,Not married and not living common law - Separated
Kentville,1685,675,1010,Not married and not living common law - Divorced
Kentville,1465,310,1155,Not married and not living common law - Widowed
Truro,17820,8865,8955,Married
Truro,4745,2365,2380,Living common-law
Truro,9985,5290,4695,Not married and not living common law - Never married
Truro,1385,585,795,Not married and not living common law - Separated
Truro,2605,1035,1570,Not married and not living common law - Divorced
Truro,2955,670,2285,Not married and not living common law - Widowed
New Glasgow,13160,6545,6615,Married
New Glasgow,3090,1540,1550,Living common-law
New Glasgow,7760,4170,3590,Not married and not living common law - Never married
New Glasgow,1075,445,620,Not married and not living common law - Separated
New Glasgow,2115,870,1245,Not married and not living common law - Divorced
New Glasgow,2305,500,1805,Not married and not living common law - Widowed
Cape Breton,34575,17260,17320,Married
Cape Breton,7685,3835,3850,Living common-law
Cape Breton,26910,14080,12835,Not married and not living common law - Never married
Cape Breton,3190,1340,1850,Not married and not living common law - Separated
Cape Breton,5660,2230,3425,Not married and not living common law - Divorced
Cape Breton,7180,1685,5495,Not married and not living common law - Widowed
Moncton,58520,29210,29310,Married
Moncton,18315,9160,9155,Living common-law
Moncton,37275,20045,17235,Not married and not living common law - Never married
Moncton,4210,1800,2415,Not married and not living common law - Separated
Moncton,7960,3095,4860,Not married and not living common law - Divorced
Moncton,6960,1560,5395,Not married and not living common law - Widowed
Saint John,50920,25410,25510,Married
Saint John,11980,5990,5995,Living common-law
Saint John,29975,15920,14050,Not married and not living common law - Never married
Saint John,3750,1615,2140,Not married and not living common law - Separated
Saint John,7045,2880,4170,Not married and not living common law - Divorced
Saint John,6730,1515,5220,Not married and not living common law - Widowed
Fredericton,42930,21435,21495,Married
Fredericton,10870,5420,5450,Living common-law
Fredericton,25080,13385,11690,Not married and not living common law - Never married
Fredericton,2680,1145,1535,Not married and not living common law - Separated
Fredericton,5250,2015,3230,Not married and not living common law - Divorced
Fredericton,4780,1005,3780,Not married and not living common law - Widowed
Bathurst,12115,6055,6060,Married
Bathurst,4695,2330,2360,Living common-law
Bathurst,6535,3625,2910,Not married and not living common law - Never married
Bathurst,995,455,540,Not married and not living common law - Separated
Bathurst,1495,690,805,Not married and not living common law - Divorced
Bathurst,2080,485,1595,Not married and not living common law - Widowed
Miramichi,11290,5675,5620,Married
Miramichi,2245,1120,1120,Living common-law
Miramichi,6105,3290,2820,Not married and not living common law - Never married
Miramichi,865,365,495,Not married and not living common law - Separated
Miramichi,1440,575,860,Not married and not living common law - Divorced
Miramichi,1960,400,1555,Not married and not living common law - Widowed
Campbellton,4335,2170,2165,Married
Campbellton,1800,900,900,Living common-law
Campbellton,3475,1890,1585,Not married and not living common law - Never married
Campbellton,420,195,225,Not married and not living common law - Separated
Campbellton,735,335,400,Not married and not living common law - Divorced
Campbellton,1020,220,800,Not married and not living common law - Widowed
Campbellton (New Brunswick part),3980,1990,1985,Married
Campbellton (New Brunswick part),1535,765,775,Living common-law
Campbellton (New Brunswick part),3145,1720,1425,Not married and not living common law - Never married
Campbellton (New Brunswick part),400,185,220,Not married and not living common law - Separated
Campbellton (New Brunswick part),630,280,355,Not married and not living common law - Divorced
Campbellton (New Brunswick part),940,200,740,Not married and not living common law - Widowed
Campbellton (Quebec part),355,175,175,Married
Campbellton (Quebec part),265,140,130,Living common-law
Campbellton (Quebec part),325,165,165,Not married and not living common law - Never married
Campbellton (Quebec part),20,10,5,Not married and not living common law - Separated
Campbellton (Quebec part),105,55,50,Not married and not living common law - Divorced
Campbellton (Quebec part),80,20,60,Not married and not living common law - Widowed
Edmundston,7465,3730,3735,Married
Edmundston,3610,1795,1815,Living common-law
Edmundston,4895,2700,2195,Not married and not living common law - Never married
Edmundston,730,325,400,Not married and not living common law - Separated
Edmundston,1110,505,605,Not married and not living common law - Divorced
Edmundston,1755,410,1340,Not married and not living common law - Widowed
Matane,4645,2365,2280,Married
Matane,4400,2190,2210,Living common-law
Matane,4625,2625,1995,Not married and not living common law - Never married
Matane,190,85,105,Not married and not living common law - Separated
Matane,1190,515,680,Not married and not living common law - Divorced
Matane,1060,270,795,Not married and not living common law - Widowed
Rimouski,12255,6125,6130,Married
Rimouski,14045,6995,7045,Living common-law
Rimouski,13725,6960,6765,Not married and not living common law - Never married
Rimouski,470,220,245,Not married and not living common law - Separated
Rimouski,2970,1105,1860,Not married and not living common law - Divorced
Rimouski,2585,640,1945,Not married and not living common law - Widowed
RiviÃ¨re-du-Loup,7030,3530,3500,Married
RiviÃ¨re-du-Loup,7750,3860,3885,Living common-law
RiviÃ¨re-du-Loup,7130,3795,3330,Not married and not living common law - Never married
RiviÃ¨re-du-Loup,260,130,125,Not married and not living common law - Separated
RiviÃ¨re-du-Loup,1615,645,970,Not married and not living common law - Divorced
RiviÃ¨re-du-Loup,1595,385,1210,Not married and not living common law - Widowed
Baie-Comeau,6220,3115,3100,Married
Baie-Comeau,7190,3580,3605,Living common-law
Baie-Comeau,6590,3785,2805,Not married and not living common law - Never married
Baie-Comeau,200,95,100,Not married and not living common law - Separated
Baie-Comeau,1400,695,700,Not married and not living common law - Divorced
Baie-Comeau,1235,290,945,Not married and not living common law - Widowed
Saguenay,42580,21285,21295,Married
Saguenay,39315,19595,19720,Living common-law
Saguenay,36105,20455,15650,Not married and not living common law - Never married
Saguenay,1750,890,865,Not married and not living common law - Separated
Saguenay,8645,3820,4830,Not married and not living common law - Divorced
Saguenay,8610,2200,6410,Not married and not living common law - Widowed
Alma,8075,4010,4070,Married
Alma,7085,3520,3560,Living common-law
Alma,6935,3825,3110,Not married and not living common law - Never married
Alma,320,140,180,Not married and not living common law - Separated
Alma,1800,770,1025,Not married and not living common law - Divorced
Alma,1470,320,1155,Not married and not living common law - Widowed
Dolbeau-Mistassini,4290,2155,2135,Married
Dolbeau-Mistassini,3350,1665,1685,Living common-law
Dolbeau-Mistassini,3215,1850,1360,Not married and not living common law - Never married
Dolbeau-Mistassini,155,75,80,Not married and not living common law - Separated
Dolbeau-Mistassini,970,440,525,Not married and not living common law - Divorced
Dolbeau-Mistassini,980,270,710,Not married and not living common law - Widowed
Sept-ÃŽles,5540,2765,2770,Married
Sept-ÃŽles,6810,3390,3425,Living common-law
Sept-ÃŽles,7545,4160,3385,Not married and not living common law - Never married
Sept-ÃŽles,220,100,120,Not married and not living common law - Separated
Sept-ÃŽles,1355,595,755,Not married and not living common law - Divorced
