GEO_NAME,COUNT_TOTAL,private_dwellings
St. John's,49215,Single-detached house
St. John's,4210,Semi-detached house
St. John's,6285,Row house
St. John's,22210,Apartment or flat in a duplex
St. John's,7225,Apartment in a building that has fewer than five storeys
St. John's,550,Apartment in a building that has five or more storeys
St. John's,155,Other single-attached house
St. John's,150,Movable dwelling
Grand Falls-Windsor,3950,Single-detached house
Grand Falls-Windsor,370,Semi-detached house
Grand Falls-Windsor,540,Row house
Grand Falls-Windsor,750,Apartment or flat in a duplex
Grand Falls-Windsor,495,Apartment in a building that has fewer than five storeys
Grand Falls-Windsor,0,Apartment in a building that has five or more storeys
Grand Falls-Windsor,20,Other single-attached house
Grand Falls-Windsor,5,Movable dwelling
Gander,3955,Single-detached house
Gander,355,Semi-detached house
Gander,285,Row house
Gander,480,Apartment or flat in a duplex
Gander,595,Apartment in a building that has fewer than five storeys
Gander,15,Apartment in a building that has five or more storeys
Gander,0,Other single-attached house
Gander,50,Movable dwelling
Corner Brook,9320,Single-detached house
Corner Brook,440,Semi-detached house
Corner Brook,425,Row house
Corner Brook,1925,Apartment or flat in a duplex
Corner Brook,1055,Apartment in a building that has fewer than five storeys
Corner Brook,0,Apartment in a building that has five or more storeys
Corner Brook,60,Other single-attached house
Corner Brook,10,Movable dwelling
Charlottetown,19775,Single-detached house
Charlottetown,2305,Semi-detached house
Charlottetown,1175,Row house
Charlottetown,710,Apartment or flat in a duplex
Charlottetown,7905,Apartment in a building that has fewer than five storeys
Charlottetown,85,Apartment in a building that has five or more storeys
Charlottetown,35,Other single-attached house
Charlottetown,945,Movable dwelling
Summerside,4210,Single-detached house
Summerside,760,Semi-detached house
Summerside,785,Row house
Summerside,265,Apartment or flat in a duplex
Summerside,1365,Apartment in a building that has fewer than five storeys
Summerside,35,Apartment in a building that has five or more storeys
Summerside,10,Other single-attached house
Summerside,520,Movable dwelling
Halifax,99440,Single-detached house
Halifax,12855,Semi-detached house
Halifax,7545,Row house
Halifax,6715,Apartment or flat in a duplex
Halifax,41235,Apartment in a building that has fewer than five storeys
Halifax,28325,Apartment in a building that has five or more storeys
Halifax,215,Other single-attached house
Halifax,4800,Movable dwelling
Kentville,8160,Single-detached house
Kentville,850,Semi-detached house
Kentville,100,Row house
Kentville,555,Apartment or flat in a duplex
Kentville,1835,Apartment in a building that has fewer than five storeys
Kentville,10,Apartment in a building that has five or more storeys
Kentville,30,Other single-attached house
Kentville,395,Movable dwelling
Truro,13715,Single-detached house
Truro,655,Semi-detached house
Truro,230,Row house
Truro,1055,Apartment or flat in a duplex
Truro,3720,Apartment in a building that has fewer than five storeys
Truro,5,Apartment in a building that has five or more storeys
Truro,65,Other single-attached house
Truro,1250,Movable dwelling
New Glasgow,11220,Single-detached house
New Glasgow,695,Semi-detached house
New Glasgow,435,Row house
New Glasgow,350,Apartment or flat in a duplex
New Glasgow,1940,Apartment in a building that has fewer than five storeys
New Glasgow,10,Apartment in a building that has five or more storeys
New Glasgow,20,Other single-attached house
New Glasgow,815,Movable dwelling
Cape Breton,32275,Single-detached house
Cape Breton,2860,Semi-detached house
Cape Breton,760,Row house
Cape Breton,1905,Apartment or flat in a duplex
Cape Breton,4550,Apartment in a building that has fewer than five storeys
Cape Breton,215,Apartment in a building that has five or more storeys
Cape Breton,70,Other single-attached house
Cape Breton,1170,Movable dwelling
Moncton,36025,Single-detached house
Moncton,6875,Semi-detached house
Moncton,2240,Row house
Moncton,3280,Apartment or flat in a duplex
Moncton,14635,Apartment in a building that has fewer than five storeys
Moncton,1305,Apartment in a building that has five or more storeys
Moncton,140,Other single-attached house
Moncton,2675,Movable dwelling
Saint John,33095,Single-detached house
Saint John,1270,Semi-detached house
Saint John,2325,Row house
Saint John,3860,Apartment or flat in a duplex
Saint John,11265,Apartment in a building that has fewer than five storeys
Saint John,2155,Apartment in a building that has five or more storeys
Saint John,130,Other single-attached house
Saint John,1760,Movable dwelling
Fredericton,27300,Single-detached house
Fredericton,920,Semi-detached house
Fredericton,1290,Row house
Fredericton,2775,Apartment or flat in a duplex
Fredericton,10120,Apartment in a building that has fewer than five storeys
Fredericton,415,Apartment in a building that has five or more storeys
Fredericton,190,Other single-attached house
Fredericton,3345,Movable dwelling
Bathurst,10295,Single-detached house
Bathurst,510,Semi-detached house
Bathurst,770,Row house
Bathurst,830,Apartment or flat in a duplex
Bathurst,1595,Apartment in a building that has fewer than five storeys
Bathurst,5,Apartment in a building that has five or more storeys
Bathurst,85,Other single-attached house
Bathurst,315,Movable dwelling
Miramichi,9315,Single-detached house
Miramichi,415,Semi-detached house
Miramichi,55,Row house
Miramichi,190,Apartment or flat in a duplex
Miramichi,1460,Apartment in a building that has fewer than five storeys
Miramichi,0,Apartment in a building that has five or more storeys
Miramichi,20,Other single-attached house
Miramichi,850,Movable dwelling
Campbellton,3970,Single-detached house
Campbellton,170,Semi-detached house
Campbellton,255,Row house
Campbellton,325,Apartment or flat in a duplex
Campbellton,1175,Apartment in a building that has fewer than five storeys
Campbellton,0,Apartment in a building that has five or more storeys
Campbellton,95,Other single-attached house
Campbellton,145,Movable dwelling
Campbellton (New Brunswick part),3525,Single-detached house
Campbellton (New Brunswick part),135,Semi-detached house
Campbellton (New Brunswick part),250,Row house
Campbellton (New Brunswick part),310,Apartment or flat in a duplex
Campbellton (New Brunswick part),1040,Apartment in a building that has fewer than five storeys
