GEO_NAME,0 to 4 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,5 to 9 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,High (secondary) school diploma or equivalency certificate,"No certificate, diploma or degree","Postsecondary certificate, diploma or degree",Immigrants,Non-immigrants,Non-permanent residents,Married or living common-law,Not married and not living common-law,With children,Without children,Apartment in a building that has fewer than five storeys,Apartment in a building that has five or more storeys,Apartment or flat in a duplex,Movable dwelling,Other single-attached house,Row house,Semi-detached house,Single-detached house,"$10,000 to $19,999","$100,000 and over","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","Under $10,000 (including loss)"
Abbotsford - Mission,10425.0,12225.0,11785.0,12395.0,12680.0,13690.0,14175.0,12885.0,12085.0,11910.0,11960.0,12500.0,12245.0,10750.0,9160.0,6180.0,4305.0,8715.0,55065.0,30110.0,229970.0,113400.0,136190.0,5840.0,201485.0,132420.0,24725.0,20920.0,15550.0,1160.0,14035.0,335.0,60.0,5590.0,1710.0,29170.0,20100.0,24750.0,25155.0,20240.0,16665.0,13960.0,10920.0,8315.0,6145.0,4585.0,13830.0
Alma,1330.0,1775.0,1585.0,1390.0,1445.0,1510.0,1700.0,1910.0,1620.0,1540.0,1610.0,2480.0,2870.0,2405.0,1790.0,1440.0,960.0,1950.0,5045.0,4855.0,50180.0,650.0,28955.0,105.0,37410.0,21050.0,2920.0,4505.0,3225.0,30.0,1895.0,70.0,135.0,250.0,1070.0,7145.0,3315.0,3535.0,4050.0,3210.0,3280.0,2640.0,1690.0,1165.0,980.0,600.0,1570.0
Amos,955.0,1185.0,1045.0,990.0,1105.0,1110.0,1155.0,1255.0,1095.0,1145.0,1070.0,1410.0,1515.0,1315.0,1060.0,705.0,420.0,660.0,2885.0,3965.0,27915.0,590.0,17870.0,110.0,22605.0,13295.0,1870.0,2520.0,1830.0,5.0,600.0,70.0,45.0,185.0,275.0,5235.0,1685.0,2615.0,2210.0,1820.0,1900.0,1610.0,1205.0,915.0,710.0,485.0,955.0
Baie-Comeau,1085.0,1350.0,1235.0,1250.0,1255.0,1400.0,1455.0,1635.0,1595.0,1370.0,1815.0,2535.0,2570.0,1955.0,1555.0,1280.0,705.0,1170.0,4685.0,4850.0,42005.0,750.0,25260.0,145.0,34005.0,18850.0,2530.0,4080.0,2315.0,100.0,375.0,1280.0,65.0,295.0,750.0,7180.0,2360.0,4625.0,3130.0,2775.0,2815.0,2350.0,1580.0,1165.0,1000.0,805.0,1295.0
Barrie,10830.0,13125.0,13070.0,13330.0,14160.0,14720.0,14455.0,13960.0,14110.0,12245.0,14330.0,16150.0,13930.0,10660.0,8835.0,6165.0,4235.0,9075.0,54350.0,27405.0,287275.0,78615.0,171405.0,3410.0,220955.0,152630.0,27000.0,22210.0,6895.0,4430.0,4180.0,75.0,70.0,7020.0,2475.0,53395.0,19605.0,36705.0,25705.0,21540.0,18340.0,15045.0,12180.0,9645.0,7550.0,6170.0,13295.0
Bathurst,1035.0,1295.0,1350.0,1465.0,1445.0,1470.0,1475.0,1805.0,1905.0,1145.0,2305.0,2745.0,2965.0,2800.0,2490.0,1705.0,1100.0,1790.0,7370.0,6210.0,43260.0,1820.0,29505.0,290.0,38310.0,22210.0,2940.0,5335.0,1595.0,5.0,830.0,315.0,85.0,770.0,510.0,10295.0,3680.0,2425.0,5295.0,4205.0,3555.0,2295.0,1510.0,1145.0,870.0,530.0,2125.0
Belleville - Quinte West,5320.0,6075.0,5615.0,5755.0,6680.0,6905.0,6620.0,6345.0,6055.0,5870.0,6725.0,8975.0,9005.0,7725.0,6665.0,4465.0,3160.0,6470.0,30390.0,15835.0,143170.0,19685.0,99070.0,1115.0,119975.0,79410.0,11620.0,15075.0,6360.0,2630.0,1030.0,385.0,165.0,2245.0,1600.0,31790.0,12065.0,13085.0,14515.0,12040.0,10995.0,8935.0,6680.0,5330.0,3385.0,2375.0,6070.0
Brandon,3160.0,3310.0,3340.0,4090.0,3880.0,4040.0,4015.0,3755.0,3300.0,3540.0,2840.0,3160.0,3000.0,2575.0,2240.0,1475.0,1230.0,2620.0,14140.0,7280.0,67030.0,23275.0,42410.0,1160.0,53610.0,39410.0,5925.0,5950.0,5220.0,725.0,530.0,1185.0,30.0,1600.0,915.0,12075.0,4600.0,6205.0,6240.0,5715.0,5360.0,4315.0,3170.0,2315.0,1790.0,1460.0,3310.0
Brantford,7595.0,8695.0,8260.0,8300.0,9065.0,9325.0,9470.0,9040.0,8835.0,8380.0,9005.0,10400.0,9935.0,8745.0,7330.0,4915.0,3255.0,7185.0,36890.0,21665.0,183655.0,44620.0,120245.0,1435.0,149600.0,102205.0,17235.0,16285.0,5025.0,4550.0,1780.0,70.0,105.0,4735.0,2905.0,36835.0,13980.0,19445.0,18070.0,15165.0,13270.0,11340.0,8780.0,6195.0,4685.0,3615.0,8300.0
Brockville,1175.0,1465.0,1585.0,1600.0,1615.0,1655.0,1510.0,1565.0,1765.0,1305.0,2015.0,2610.0,2795.0,2485.0,2375.0,1645.0,1295.0,2400.0,8320.0,4560.0,43830.0,6130.0,27930.0,95.0,33515.0,24955.0,2800.0,4655.0,3005.0,685.0,125.0,35.0,90.0,845.0,990.0,8655.0,3595.0,3865.0,4460.0,3815.0,3280.0,2625.0,1820.0,1295.0,900.0,750.0,1710.0
Brooks,1020.0,1205.0,1085.0,915.0,855.0,1005.0,1265.0,1300.0,1105.0,1180.0,865.0,765.0,680.0,545.0,390.0,295.0,185.0,510.0,4080.0,3215.0,12680.0,14530.0,8860.0,350.0,14225.0,9765.0,1830.0,1220.0,800.0,0.0,180.0,395.0,0.0,560.0,405.0,2800.0,915.0,1475.0,1395.0,1290.0,1315.0,1760.0,900.0,555.0,375.0,360.0,915.0
