Geo Code,Geo Name
2021S0503001,St. John's
2021S0504010,Grand Falls-Windsor
2021S0504011,Gander
2021S0504015,Corner Brook
2021S0504105,Charlottetown
2021S0504110,Summerside
2021S0503205,Halifax
2021S0504210,Kentville
2021S0504215,Truro
2021S0504220,New Glasgow
2021S0504225,Cape Breton
2021S0503305,Moncton
2021S0503310,Saint John
2021S0503320,Fredericton
2021S0504328,Bathurst
2021S0504329,Miramichi
2021S0504330,Campbellton
2021S050613330,Campbellton (New Brunswick part)
2021S050624330,Campbellton (Quebec part)
2021S0504335,Edmundston
2021S0504403,Matane
2021S0504404,Rimouski
2021S0504405,Rivière-du-Loup
2021S0504406,Baie-Comeau
2021S0503408,Saguenay
2021S0504410,Alma
2021S0504411,Dolbeau-Mistassini
2021S0504412,Sept-Îles
2021S0503421,Québec
2021S0504423,Sainte-Marie
2021S0504428,Saint-Georges
2021S0504430,Thetford Mines
2021S0503433,Sherbrooke
2021S0504437,Cowansville
2021S0504440,Victoriaville
2021S0503442,Trois-Rivières
2021S0504444,Shawinigan
2021S0503447,Drummondville
2021S0504450,Granby
2021S0504452,Saint-Hyacinthe
2021S0504454,Sorel-Tracy
2021S0504456,Joliette
2021S0503462,Montréal
2021S0504465,Salaberry-de-Valleyfield
2021S0504467,Sainte-Agathe-des-Monts
2021S0504468,Lachute
2021S0504480,Val-d'Or
2021S0504481,Amos
2021S0504485,Rouyn-Noranda
2021S0504501,Cornwall
2021S0504502,Hawkesbury
2021S050624502,Hawkesbury (Quebec part)
2021S050635502,Hawkesbury (Ontario part)
2021S0503505,Ottawa - Gatineau
2021S050524505,Ottawa - Gatineau (Quebec part)
2021S050535505,Ottawa - Gatineau (Ontario part)
2021S0504512,Brockville
2021S0504515,Pembroke
2021S0504516,Petawawa
2021S0503521,Kingston
2021S0503522,Belleville - Quinte West
2021S0504527,Cobourg
2021S0504528,Port Hope
2021S0503529,Peterborough
2021S0504530,Kawartha Lakes
2021S0504531,Centre Wellington
2021S0503532,Oshawa
2021S0504533,Ingersoll
2021S0503535,Toronto
2021S0503537,Hamilton
2021S0503539,St. Catharines - Niagara
2021S0503541,Kitchener - Cambridge - Waterloo
2021S0503543,Brantford
2021S0504544,Woodstock
2021S0504546,Tillsonburg
2021S0504547,Norfolk
2021S0503550,Guelph
2021S0504553,Stratford
2021S0503555,London
2021S0504556,Chatham-Kent
2021S0503559,Windsor
2021S0504562,Sarnia
2021S0504563,Essa
2021S0504565,Wasaga Beach
2021S0504566,Owen Sound
2021S0504567,Collingwood
2021S0503568,Barrie
2021S0504569,Orillia
2021S0504571,Midland
2021S0504575,North Bay
2021S0503580,Greater Sudbury / Grand Sudbury
2021S0504582,Elliot Lake
2021S0504586,Timmins
2021S0504590,Sault Ste. Marie
2021S0503595,Thunder Bay
2021S0504598,Kenora
2021S0503602,Winnipeg
2021S0504603,Winkler
2021S0504605,Steinbach
2021S0504607,Portage la Prairie
2021S0504610,Brandon
2021S0504640,Thompson
2021S0503705,Regina
2021S0504710,Yorkton
2021S0504715,Moose Jaw
2021S0504720,Swift Current
2021S0503725,Saskatoon
2021S0504735,North Battleford
2021S0504745,Prince Albert
2021S0504750,Estevan
2021S0504755,Weyburn
2021S0504805,Medicine Hat
2021S0504806,Brooks
2021S0503810,Lethbridge
2021S0504820,Okotoks
2021S0504821,High River
2021S0503825,Calgary
2021S0504826,Strathmore
2021S0504828,Canmore
2021S0503830,Red Deer
2021S0504831,Sylvan Lake
2021S0504832,Lacombe
2021S0504833,Camrose
2021S0503835,Edmonton
2021S0504840,Lloydminster
2021S050647840,Lloydminster (Saskatchewan part)
2021S050648840,Lloydminster (Alberta part)
2021S0504850,Grande Prairie
2021S0504860,Wood Buffalo
2021S0504865,Wetaskiwin
2021S0504905,Cranbrook
2021S0504907,Nelson
2021S0504910,Trail
2021S0504913,Penticton
2021S0503915,Kelowna
2021S0504918,Vernon
2021S0504920,Salmon Arm
2021S0503925,Kamloops
2021S0503930,Chilliwack
2021S0503932,Abbotsford - Mission
2021S0503933,Vancouver
2021S0504934,Squamish
2021S0503935,Victoria
2021S0504936,Ladysmith
2021S0504937,Duncan
2021S0503938,Nanaimo
2021S0504939,Parksville
2021S0504940,Port Alberni
2021S0504943,Courtenay
2021S0504944,Campbell River
2021S0504945,Powell River
2021S0504950,Williams Lake
2021S0504952,Quesnel
2021S0504955,Prince Rupert
2021S0504965,Terrace
2021S0504970,Prince George
2021S0504975,Dawson Creek
2021S0504977,Fort St. John
2021S0504990,Whitehorse
2021S0504995,Yellowknife
