,CENSUS_YEAR,DGUID,GEO_LEVEL,GEO_NAME,CHARACTERISTIC_NAME,C1_COUNT_TOTAL,C2_COUNT_MEN+,C3_COUNT_WOMEN+,Level,Lvl-0,Lvl-1,Lvl-2,Lvl-3,Lvl-4,Lvl-5,Lvl-6,Lvl-7,Lvl-8
7,2021,2021S0503001,Census metropolitan area,St. John's,Total - Age groups of the population - 100% data,212580,103480,109100,0,Total - Age groups of the population - 100% data,0,0,0,0,0,0,0,0
8,2021,2021S0503001,Census metropolitan area,St. John's,  0 to 14 years,31570,16200,15370,1,Total - Age groups of the population - 100% data,0 to 14 years,0,0,0,0,0,0,0
9,2021,2021S0503001,Census metropolitan area,St. John's,    0 to 4 years,9135,4715,4420,2,Total - Age groups of the population - 100% data,0 to 14 years,0 to 4 years,0,0,0,0,0,0
10,2021,2021S0503001,Census metropolitan area,St. John's,    5 to 9 years,10775,5510,5265,2,Total - Age groups of the population - 100% data,0 to 14 years,5 to 9 years,0,0,0,0,0,0
11,2021,2021S0503001,Census metropolitan area,St. John's,    10 to 14 years,11655,5975,5680,2,Total - Age groups of the population - 100% data,0 to 14 years,10 to 14 years,0,0,0,0,0,0
12,2021,2021S0503001,Census metropolitan area,St. John's,  15 to 64 years,142400,69995,72405,1,Total - Age groups of the population - 100% data,15 to 64 years,0,0,0,0,0,0,0
13,2021,2021S0503001,Census metropolitan area,St. John's,    15 to 19 years,11235,5780,5455,2,Total - Age groups of the population - 100% data,15 to 64 years,15 to 19 years,0,0,0,0,0,0
14,2021,2021S0503001,Census metropolitan area,St. John's,    20 to 24 years,13645,7080,6565,2,Total - Age groups of the population - 100% data,15 to 64 years,20 to 24 years,0,0,0,0,0,0
15,2021,2021S0503001,Census metropolitan area,St. John's,    25 to 29 years,13605,6765,6840,2,Total - Age groups of the population - 100% data,15 to 64 years,25 to 29 years,0,0,0,0,0,0
16,2021,2021S0503001,Census metropolitan area,St. John's,    30 to 34 years,14630,7250,7380,2,Total - Age groups of the population - 100% data,15 to 64 years,30 to 34 years,0,0,0,0,0,0
17,2021,2021S0503001,Census metropolitan area,St. John's,    35 to 39 years,15020,7400,7625,2,Total - Age groups of the population - 100% data,15 to 64 years,35 to 39 years,0,0,0,0,0,0
18,2021,2021S0503001,Census metropolitan area,St. John's,    40 to 44 years,14735,7065,7675,2,Total - Age groups of the population - 100% data,15 to 64 years,40 to 44 years,0,0,0,0,0,0
19,2021,2021S0503001,Census metropolitan area,St. John's,    45 to 49 years,14490,7100,7390,2,Total - Age groups of the population - 100% data,15 to 64 years,45 to 49 years,0,0,0,0,0,0
