GEO_NAME,0,Immigrants,Non-immigrants,Non-permanent residents
Abbotsford - Mission,192115.0,113400.0,136190.0,5840.0
Alma,29320.0,650.0,28955.0,105.0
Amos,18215.0,590.0,17870.0,110.0
Baie-Comeau,25715.0,750.0,25260.0,145.0
Barrie,210155.0,78615.0,171405.0,3410.0
Bathurst,30540.0,1820.0,29505.0,290.0
Belleville - Quinte West,109250.0,19685.0,99070.0,1115.0
Brandon,52745.0,23275.0,42410.0,1160.0
Brantford,141905.0,44620.0,120245.0,1435.0
Brockville,30880.0,6130.0,27930.0,95.0
Brooks,14645.0,14530.0,8860.0,350.0
Calgary,1465175.0,1094920.0,976430.0,27865.0
Campbell River,39930.0,9000.0,35595.0,230.0
Campbellton,12655.0,700.0,12290.0,75.0
Campbellton (New Brunswick part),11330.0,675.0,10980.0,75.0
Campbellton (Quebec part),1320.0,20.0,1305.0,0.0
Camrose,18185.0,4740.0,16145.0,180.0
Canmore,15525.0,7870.0,11705.0,550.0
Cape Breton,96640.0,5050.0,92120.0,2335.0
Centre Wellington,30645.0,7300.0,27085.0,110.0
Charlottetown,77380.0,21930.0,64980.0,4020.0
Chatham-Kent,102090.0,19915.0,92315.0,530.0
Chilliwack,111560.0,35805.0,94570.0,795.0
Cobourg,19780.0,5400.0,17190.0,40.0
Collingwood,24275.0,6850.0,20950.0,115.0
Corner Brook,28980.0,1580.0,28160.0,160.0
Cornwall,59750.0,10190.0,54655.0,570.0
Courtenay,62030.0,17280.0,53470.0,550.0
Cowansville,14285.0,1040.0,13755.0,45.0
Cranbrook,26295.0,5200.0,23590.0,390.0
Dawson Creek,17380.0,3775.0,15415.0,445.0
Dolbeau-Mistassini,14720.0,305.0,14515.0,85.0
Drummondville,98570.0,9105.0,93735.0,1130.0
Duncan,46435.0,12650.0,40330.0,275.0
Edmonton,1397750.0,877330.0,1008260.0,25580.0
Edmundston,20930.0,1740.0,19915.0,295.0
Elliot Lake,11225.0,2405.0,10030.0,15.0
Essa,22785.0,5810.0,20005.0,100.0
Estevan,12555.0,3585.0,11075.0,130.0
Fort St. John,28430.0,7675.0,24685.0,720.0
Fredericton,107165.0,23900.0,95865.0,1790.0
Gander,13080.0,795.0,12695.0,80.0
Granby,88245.0,10465.0,83155.0,670.0
Grand Falls-Windsor,13600.0,610.0,13250.0,100.0
Grande Prairie,63180.0,21575.0,53815.0,1000.0
Greater Sudbury / Grand Sudbury,167620.0,22740.0,154070.0,3560.0
Guelph,163485.0,84675.0,123670.0,2715.0
Halifax,461135.0,128070.0,392615.0,17040.0
Hamilton,773440.0,442050.0,561180.0,14410.0
Hawkesbury,11640.0,1455.0,10980.0,35.0
Hawkesbury (Ontario part),9830.0,1360.0,9215.0,35.0
Hawkesbury (Quebec part),1815.0,80.0,1770.0,0.0
High River,14110.0,6885.0,11315.0,150.0
Ingersoll,13545.0,2220.0,12485.0,30.0
Joliette,50165.0,5085.0,47725.0,320.0
Kamloops,110545.0,24255.0,96970.0,2750.0
Kawartha Lakes,77230.0,12635.0,70930.0,195.0
Kelowna,218525.0,70750.0,182660.0,4290.0
Kenora,14610.0,1415.0,13855.0,115.0
Kentville,26600.0,3280.0,24830.0,370.0
Kingston,168075.0,45040.0,144460.0,3320.0
Kitchener - Cambridge - Waterloo,568065.0,337740.0,399245.0,22250.0
Lachute,13360.0,695.0,13030.0,15.0
Lacombe,13070.0,3830.0,11410.0,100.0
Ladysmith,15235.0,3520.0,13440.0,80.0
Lethbridge,120495.0,41445.0,101375.0,1735.0
Lloydminster,35920.0,12150.0,31030.0,270.0
Lloydminster (Alberta part),19225.0,5445.0,16905.0,185.0
Lloydminster (Saskatchewan part),16695.0,6690.0,14120.0,90.0
London,535780.0,265745.0,400620.0,19560.0
Matane,18020.0,500.0,17520.0,290.0
Medicine Hat,74590.0,17210.0,66665.0,700.0
Midland,26360.0,4840.0,24020.0,80.0
Miramichi,27040.0,2065.0,26065.0,110.0
Moncton,154245.0,35205.0,136130.0,4775.0
Montréal,4206455.0,2367825.0,3021825.0,161680.0
Moose Jaw,34160.0,7935.0,30475.0,570.0
Nanaimo,112410.0,38370.0,93330.0,1885.0
Nelson,18715.0,5805.0,15720.0,425.0
New Glasgow,33775.0,2310.0,32645.0,155.0
Norfolk,66225.0,14965.0,58905.0,245.0
North Battleford,18785.0,5710.0,16315.0,280.0
North Bay,70175.0,7310.0,66260.0,535.0
Okotoks,30020.0,9325.0,25925.0,100.0
Orillia,32270.0,6710.0,28970.0,185.0
Oshawa,411405.0,204780.0,315710.0,3880.0
Ottawa - Gatineau,1464495.0,726275.0,1115495.0,35160.0
Ottawa - Gatineau (Ontario part),1116800.0,614350.0,819935.0,29800.0
Ottawa - Gatineau (Quebec part),347700.0,111940.0,295560.0,5360.0
Owen Sound,31870.0,5095.0,29410.0,125.0
