GEO_NAME,0,0 to 4 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,5 to 9 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Abbotsford - Mission,391450.0,10425.0,12225.0,11785.0,12395.0,12680.0,13690.0,14175.0,12885.0,12085.0,11910.0,11960.0,12500.0,12245.0,10750.0,9160.0,6180.0,4305.0,8715.0
Alma,60660.0,1330.0,1775.0,1585.0,1390.0,1445.0,1510.0,1700.0,1910.0,1620.0,1540.0,1610.0,2480.0,2870.0,2405.0,1790.0,1440.0,960.0,1950.0
Amos,37755.0,955.0,1185.0,1045.0,990.0,1105.0,1110.0,1155.0,1255.0,1095.0,1145.0,1070.0,1410.0,1515.0,1315.0,1060.0,705.0,420.0,660.0
Baie-Comeau,53285.0,1085.0,1350.0,1235.0,1250.0,1255.0,1400.0,1455.0,1635.0,1595.0,1370.0,1815.0,2535.0,2570.0,1955.0,1555.0,1280.0,705.0,1170.0
Barrie,425705.0,10830.0,13125.0,13070.0,13330.0,14160.0,14720.0,14455.0,13960.0,14110.0,12245.0,14330.0,16150.0,13930.0,10660.0,8835.0,6165.0,4235.0,9075.0
Bathurst,62780.0,1035.0,1295.0,1350.0,1465.0,1445.0,1470.0,1475.0,1805.0,1905.0,1145.0,2305.0,2745.0,2965.0,2800.0,2490.0,1705.0,1100.0,1790.0
Belleville - Quinte West,222375.0,5320.0,6075.0,5615.0,5755.0,6680.0,6905.0,6620.0,6345.0,6055.0,5870.0,6725.0,8975.0,9005.0,7725.0,6665.0,4465.0,3160.0,6470.0
Brandon,108540.0,3160.0,3310.0,3340.0,4090.0,3880.0,4040.0,4015.0,3755.0,3300.0,3540.0,2840.0,3160.0,3000.0,2575.0,2240.0,1475.0,1230.0,2620.0
Brantford,288320.0,7595.0,8695.0,8260.0,8300.0,9065.0,9325.0,9470.0,9040.0,8835.0,8380.0,9005.0,10400.0,9935.0,8745.0,7330.0,4915.0,3255.0,7185.0
Brockville,63325.0,1175.0,1465.0,1585.0,1600.0,1615.0,1655.0,1510.0,1565.0,1765.0,1305.0,2015.0,2610.0,2795.0,2485.0,2375.0,1645.0,1295.0,2400.0
Brooks,29850.0,1020.0,1205.0,1085.0,915.0,855.0,1005.0,1265.0,1300.0,1105.0,1180.0,865.0,765.0,680.0,545.0,390.0,295.0,185.0,510.0
Calgary,2963610.0,84655.0,95470.0,84790.0,86665.0,96745.0,117760.0,125330.0,114275.0,104035.0,94065.0,96040.0,93675.0,88445.0,70735.0,52690.0,32545.0,21365.0,45045.0
Campbell River,81405.0,1675.0,2195.0,2020.0,1740.0,1980.0,2305.0,2450.0,2455.0,2255.0,2055.0,2465.0,3020.0,3595.0,3470.0,2960.0,1910.0,1110.0,2080.0
Campbellton,26655.0,460.0,590.0,620.0,570.0,650.0,655.0,650.0,625.0,770.0,505.0,930.0,1310.0,1290.0,1185.0,990.0,640.0,465.0,860.0
Campbellton (New Brunswick part),23965.0,415.0,515.0,570.0,525.0,585.0,595.0,575.0,550.0,685.0,425.0,845.0,1180.0,1170.0,1060.0,885.0,580.0,420.0,795.0
Campbellton (Quebec part),2680.0,45.0,75.0,55.0,40.0,60.0,60.0,70.0,75.0,85.0,75.0,80.0,130.0,125.0,120.0,100.0,60.0,45.0,60.0
Camrose,37540.0,940.0,1135.0,985.0,1025.0,1105.0,1185.0,1165.0,1115.0,990.0,1100.0,1055.0,1240.0,1220.0,1175.0,1050.0,855.0,670.0,1535.0
Canmore,31975.0,620.0,715.0,700.0,800.0,1140.0,1330.0,1330.0,1200.0,1140.0,720.0,1100.0,1215.0,1200.0,1105.0,755.0,440.0,245.0,460.0
Cape Breton,196630.0,3790.0,4890.0,4955.0,5445.0,5705.0,5110.0,4925.0,5040.0,5640.0,4435.0,6310.0,7985.0,8750.0,8235.0,6745.0,4465.0,3025.0,5750.0
Centre Wellington,62190.0,1670.0,1855.0,1765.0,1510.0,1595.0,1860.0,1910.0,1775.0,1800.0,1815.0,1950.0,2360.0,2285.0,2115.0,1865.0,1270.0,860.0,1670.0
Charlottetown,157725.0,3510.0,4655.0,4390.0,6380.0,5280.0,4960.0,4905.0,4910.0,4910.0,4240.0,4955.0,5385.0,5135.0,4920.0,4260.0,2665.0,1710.0,3400.0
