GEO_NAME,0,High (secondary) school diploma or equivalency certificate,"No certificate, diploma or degree","Postsecondary certificate, diploma or degree"
Abbotsford - Mission,157565.0,55065.0,30110.0,229970.0
Alma,24685.0,5045.0,4855.0,50180.0
Amos,14960.0,2885.0,3965.0,27915.0
Baie-Comeau,21935.0,4685.0,4850.0,42005.0
Barrie,174005.0,54350.0,27405.0,287275.0
Bathurst,27075.0,7370.0,6210.0,43260.0
Belleville - Quinte West,92000.0,30390.0,15835.0,143170.0
Brandon,42760.0,14140.0,7280.0,67030.0
Brantford,117260.0,36890.0,21665.0,183655.0
Brockville,26935.0,8320.0,4560.0,43830.0
Brooks,11230.0,4080.0,3215.0,12680.0
Calgary,1191350.0,312050.0,151525.0,2258560.0
Campbell River,34025.0,11505.0,5340.0,55575.0
Campbellton,11110.0,2875.0,3025.0,16750.0
Campbellton (New Brunswick part),9985.0,2580.0,2660.0,15115.0
Campbellton (Quebec part),1125.0,290.0,355.0,1640.0
Camrose,15010.0,4735.0,2830.0,23800.0
Canmore,13485.0,2950.0,920.0,29735.0
Cape Breton,83515.0,23870.0,16315.0,138990.0
Centre Wellington,25310.0,7420.0,3815.0,44000.0
Charlottetown,64985.0,16435.0,7555.0,126685.0
Chatham-Kent,85485.0,27555.0,18325.0,124310.0
Chilliwack,91145.0,32830.0,15095.0,138795.0
Cobourg,17245.0,5550.0,2540.0,28565.0
Collingwood,20980.0,6345.0,2900.0,36260.0
Corner Brook,25235.0,7045.0,4245.0,44645.0
Cornwall,50115.0,16885.0,10235.0,72695.0
Courtenay,53405.0,16315.0,6880.0,95855.0
Cowansville,12005.0,3320.0,2895.0,19580.0
Cranbrook,22285.0,7345.0,3380.0,37325.0
Dawson Creek,14025.0,4415.0,3045.0,21610.0
Dolbeau-Mistassini,12375.0,2545.0,3045.0,23565.0
Drummondville,81580.0,18935.0,18380.0,149665.0
Duncan,39545.0,12705.0,6660.0,64675.0
Edmonton,1134420.0,326620.0,163530.0,2032930.0
Edmundston,18365.0,5155.0,3895.0,30265.0
Elliot Lake,10050.0,3165.0,2545.0,13925.0
Essa,18165.0,6300.0,2850.0,28565.0
Estevan,10135.0,3780.0,1985.0,14360.0
Fort St. John,22330.0,7770.0,4270.0,33855.0
Fredericton,90070.0,25825.0,10880.0,165545.0
Gander,11065.0,3055.0,1825.0,19665.0
Granby,73825.0,18840.0,15680.0,130535.0
Grand Falls-Windsor,11675.0,3300.0,2390.0,19220.0
Grande Prairie,49225.0,16530.0,8750.0,77625.0
Greater Sudbury / Grand Sudbury,141310.0,38035.0,24465.0,246560.0
Guelph,136585.0,37235.0,19065.0,246905.0
Halifax,391890.0,100050.0,48640.0,756785.0
Hamilton,647770.0,176420.0,100565.0,1146710.0
Hawkesbury,10155.0,3460.0,2760.0,12895.0
Hawkesbury (Ontario part),8630.0,2940.0,2390.0,10690.0
Hawkesbury (Quebec part),1525.0,520.0,370.0,2205.0
High River,11655.0,4010.0,1825.0,18745.0
Ingersoll,11045.0,3805.0,2085.0,16200.0
Joliette,42525.0,10245.0,9865.0,75095.0
Kamloops,93610.0,31440.0,12535.0,159290.0
Kawartha Lakes,66700.0,22385.0,11660.0,103385.0
Kelowna,187965.0,58105.0,22700.0,339515.0
Kenora,12320.0,3845.0,2060.0,20195.0
Kentville,22765.0,6150.0,4050.0,39485.0
Kingston,143260.0,41760.0,16880.0,261260.0
Kitchener - Cambridge - Waterloo,469600.0,130950.0,74680.0,816065.0
Lachute,11365.0,2975.0,3410.0,17280.0
Lacombe,10440.0,3145.0,1810.0,17575.0
Ladysmith,13085.0,4005.0,2025.0,22605.0
Lethbridge,97260.0,30820.0,15915.0,159945.0
Lloydminster,27780.0,9120.0,4975.0,44245.0
Lloydminster (Alberta part),15060.0,4615.0,2510.0,25500.0
Lloydminster (Saskatchewan part),12725.0,4505.0,2465.0,18740.0
London,446180.0,124310.0,66745.0,788290.0
Matane,15660.0,3470.0,3995.0,27780.0
Medicine Hat,61415.0,20130.0,11510.0,95800.0
Midland,22880.0,7670.0,4310.0,34260.0
Miramichi,23355.0,7540.0,3855.0,37930.0
Moncton,129890.0,37305.0,18735.0,229580.0
Montréal,3485575.0,733660.0,559410.0,7012260.0
Moose Jaw,27965.0,9525.0,5025.0,43345.0
Nanaimo,96050.0,29585.0,13200.0,169185.0
Nelson,16045.0,4145.0,1655.0,32220.0
New Glasgow,28885.0,8620.0,5670.0,46605.0
Norfolk,55980.0,17690.0,11880.0,83635.0
North Battleford,14980.0,4700.0,3075.0,23100.0
North Bay,59795.0,16385.0,10105.0,104100.0
Okotoks,23450.0,7455.0,2935.0,41375.0
Orillia,27630.0,8565.0,5375.0,42710.0
Oshawa,334630.0,98955.0,49265.0,578320.0
Ottawa - Gatineau,1213355.0,283270.0,154760.0,2395865.0
Ottawa - Gatineau (Ontario part),929885.0,220265.0,104410.0,1852125.0
Ottawa - Gatineau (Quebec part),283465.0,63005.0,50350.0,543725.0
Owen Sound,27215.0,8575.0,4960.0,42790.0
Parksville,27380.0,8285.0,3050.0,50925.0
Pembroke,19520.0,6470.0,3515.0,29945.0
Penticton,40655.0,13335.0,6160.0,67510.0
Petawawa,13370.0,4800.0,1600.0,21825.0
Peterborough,107095.0,32080.0,15720.0,184160.0
Port Alberni,21790.0,6990.0,4805.0,32700.0
Port Hope,14670.0,4890.0,2065.0,24155.0
Portage la Prairie,10360.0,3265.0,2265.0,15325.0
Powell River,15245.0,4685.0,2465.0,26270.0
Prince Albert,33930.0,11570.0,6845.0,49725.0
Prince George,72855.0,24495.0,12575.0,115495.0
Prince Rupert,10960.0,3655.0,2650.0,15120.0
Quesnel,19250.0,6680.0,4615.0,26110.0
Québec,683715.0,137460.0,85230.0,1489085.0
Red Deer,79715.0,25680.0,12965.0,131220.0
Regina,197760.0,62195.0,26710.0,343170.0
Rimouski,44545.0,9170.0,6490.0,94290.0
Rivière-du-Loup,24035.0,4860.0,4385.0,49925.0
Rouyn-Noranda,33995.0,6795.0,7365.0,66755.0
Saguenay,133435.0,26435.0,22045.0,286405.0
Saint John,108175.0,34350.0,15415.0,183215.0
Saint-Georges,28225.0,6455.0,6450.0,51800.0
Saint-Hyacinthe,48490.0,11775.0,11475.0,84530.0
Sainte-Agathe-des-Monts,16720.0,3805.0,3160.0,32295.0
Sainte-Marie,10305.0,2360.0,1795.0,20530.0
Salaberry-de-Valleyfield,34960.0,8750.0,8910.0,59520.0
Salmon Arm,16045.0,4760.0,2515.0,27980.0
Sarnia,81450.0,24775.0,11095.0,144300.0
Saskatoon,251195.0,75105.0,33370.0,449600.0
Sault Ste. Marie,64390.0,19645.0,10215.0,108100.0
Sept-Îles,22175.0,4585.0,5815.0,39770.0
Shawinigan,41355.0,9900.0,9315.0,75445.0
Sherbrooke,184170.0,37600.0,30555.0,379730.0
Sorel-Tracy,35190.0,8320.0,8135.0,63525.0
Squamish,19410.0,5175.0,1760.0,39115.0
St. Catharines - Niagara,362765.0,116720.0,56295.0,593880.0
St. John's,177280.0,46700.0,21900.0,340060.0
Steinbach,13790.0,4675.0,3330.0,18055.0
Stratford,27720.0,8810.0,4580.0,44640.0
Strathmore,11275.0,3875.0,2040.0,17120.0
Summerside,14980.0,4770.0,2745.0,23330.0
Swift Current,14945.0,5025.0,2680.0,23105.0
Sylvan Lake,12940.0,4380.0,2130.0,20890.0
Terrace,15945.0,4900.0,2805.0,26755.0
Thetford Mines,22585.0,4725.0,5060.0,43740.0
Thompson,9525.0,2925.0,2485.0,12960.0
Thunder Bay,103330.0,28390.0,17305.0,180390.0
Tillsonburg,15670.0,5150.0,3655.0,21465.0
Timmins,33660.0,9920.0,7315.0,51675.0
Toronto,5179140.0,1289080.0,737285.0,9648795.0
Trail,11890.0,3690.0,1660.0,21345.0
Trois-Rivières,132050.0,29030.0,22405.0,265915.0
Truro,38670.0,11470.0,7465.0,62665.0
Val-d'Or,27330.0,5830.0,7195.0,48760.0
Vancouver,2235450.0,618710.0,270240.0,4165250.0
Vernon,56105.0,17750.0,8325.0,96170.0
Victoria,338040.0,94050.0,35000.0,650890.0
Victoriaville,42110.0,9355.0,9455.0,78380.0
Wasaga Beach,21685.0,7585.0,4035.0,31905.0
Wetaskiwin,9830.0,3295.0,2570.0,12840.0
Weyburn,9490.0,3390.0,1735.0,14060.0
Whitehorse,25920.0,6580.0,3165.0,50870.0
Williams Lake,19375.0,6705.0,4100.0,28005.0
Windsor,346770.0,109585.0,60940.0,548460.0
Winkler,24290.0,8215.0,7560.0,26990.0
Winnipeg,679185.0,203950.0,98860.0,1170085.0
Wood Buffalo,56340.0,17135.0,7020.0,104625.0
Woodstock,37720.0,12665.0,7530.0,54720.0
Yellowknife,15795.0,4265.0,2240.0,28910.0
Yorkton,15915.0,5780.0,3075.0,22620.0
