GEO_NAME,0,Apartment in a building that has fewer than five storeys,Apartment in a building that has five or more storeys,Apartment or flat in a duplex,Movable dwelling,Other single-attached house,Row house,Semi-detached house,Single-detached house
Abbotsford - Mission,67615.0,15550.0,1160.0,14035.0,335.0,60.0,5590.0,1710.0,29170.0
Alma,13815.0,3225.0,30.0,1895.0,70.0,135.0,250.0,1070.0,7145.0
Amos,8250.0,1830.0,5.0,600.0,70.0,45.0,185.0,275.0,5235.0
Baie-Comeau,12360.0,2315.0,100.0,375.0,1280.0,65.0,295.0,750.0,7180.0
Barrie,78540.0,6895.0,4430.0,4180.0,75.0,70.0,7020.0,2475.0,53395.0
Bathurst,14395.0,1595.0,5.0,830.0,315.0,85.0,770.0,510.0,10295.0
Belleville - Quinte West,46215.0,6360.0,2630.0,1030.0,385.0,165.0,2245.0,1600.0,31790.0
Brandon,22280.0,5220.0,725.0,530.0,1185.0,30.0,1600.0,915.0,12075.0
Brantford,56000.0,5025.0,4550.0,1780.0,70.0,105.0,4735.0,2905.0,36835.0
Brockville,14440.0,3005.0,685.0,125.0,35.0,90.0,845.0,990.0,8655.0
Brooks,5140.0,800.0,0.0,180.0,395.0,0.0,560.0,405.0,2800.0
Calgary,563440.0,86640.0,40750.0,21405.0,2255.0,315.0,55260.0,36290.0,320530.0
Campbell River,17640.0,2840.0,0.0,740.0,950.0,5.0,1080.0,850.0,11175.0
Campbellton,6130.0,1175.0,0.0,325.0,145.0,95.0,255.0,170.0,3970.0
Campbellton (New Brunswick part),5490.0,1040.0,0.0,310.0,140.0,95.0,250.0,135.0,3525.0
Campbellton (Quebec part),640.0,135.0,0.0,15.0,5.0,0.0,10.0,30.0,445.0
Camrose,8140.0,1605.0,60.0,205.0,170.0,10.0,455.0,560.0,5075.0
Canmore,6805.0,1670.0,255.0,385.0,10.0,5.0,1340.0,560.0,2575.0
Cape Breton,43800.0,4550.0,215.0,1905.0,1170.0,70.0,760.0,2860.0,32275.0
Centre Wellington,11975.0,1570.0,110.0,180.0,100.0,15.0,740.0,570.0,8685.0
Charlottetown,32940.0,7905.0,85.0,710.0,945.0,35.0,1175.0,2305.0,19775.0
Chatham-Kent,44180.0,5090.0,1535.0,735.0,175.0,80.0,1540.0,1445.0,33575.0
Chilliwack,44365.0,7580.0,290.0,1745.0,1625.0,45.0,5935.0,1655.0,25495.0
Cobourg,9130.0,1785.0,365.0,170.0,0.0,30.0,1125.0,410.0,5255.0
Collingwood,11175.0,2010.0,450.0,250.0,0.0,25.0,1385.0,750.0,6300.0
Corner Brook,13245.0,1055.0,0.0,1925.0,10.0,60.0,425.0,440.0,9320.0
Cornwall,26795.0,4665.0,1150.0,1810.0,115.0,120.0,1265.0,2275.0,15395.0
Courtenay,28205.0,3585.0,45.0,875.0,975.0,55.0,1710.0,2810.0,18145.0
Cowansville,6980.0,3120.0,5.0,550.0,35.0,60.0,80.0,330.0,2805.0
Cranbrook,11380.0,1300.0,0.0,255.0,850.0,50.0,530.0,510.0,7890.0
Dawson Creek,7540.0,1085.0,0.0,165.0,405.0,10.0,340.0,330.0,5215.0
Dolbeau-Mistassini,6965.0,1330.0,0.0,645.0,110.0,80.0,65.0,345.0,4385.0
Drummondville,45700.0,13610.0,490.0,3545.0,480.0,170.0,820.0,2405.0,24180.0
Duncan,20015.0,2940.0,10.0,925.0,825.0,85.0,1225.0,1155.0,12850.0
Edmonton,548625.0,105235.0,30920.0,10955.0,6525.0,140.0,46405.0,38475.0,309965.0
Edmundston,10265.0,1725.0,125.0,615.0,355.0,40.0,260.0,340.0,6805.0
Elliot Lake,5840.0,880.0,575.0,50.0,0.0,0.0,605.0,1100.0,2625.0
Essa,7950.0,225.0,55.0,155.0,120.0,15.0,470.0,800.0,6110.0
Estevan,5340.0,930.0,45.0,75.0,280.0,10.0,155.0,165.0,3680.0
Fort St. John,11590.0,1735.0,145.0,240.0,1105.0,15.0,920.0,1010.0,6425.0
Fredericton,46360.0,10120.0,415.0,2775.0,3345.0,190.0,1290.0,920.0,27300.0
Gander,5745.0,595.0,15.0,480.0,50.0,0.0,285.0,355.0,3955.0
Granby,41095.0,14470.0,520.0,2575.0,815.0,505.0,580.0,3125.0,18520.0
Grand Falls-Windsor,6125.0,495.0,0.0,750.0,5.0,20.0,540.0,370.0,3950.0
Grande Prairie,24815.0,4580.0,160.0,1105.0,835.0,5.0,1085.0,1755.0,15280.0
Greater Sudbury / Grand Sudbury,73385.0,12130.0,4790.0,4485.0,590.0,135.0,2935.0,3295.0,45025.0
Guelph,64175.0,7950.0,6510.0,3720.0,65.0,60.0,8935.0,2600.0,34325.0
Halifax,201135.0,41235.0,28325.0,6715.0,4800.0,215.0,7545.0,12855.0,99440.0
Hamilton,307380.0,25560.0,49645.0,8300.0,160.0,555.0,43785.0,10110.0,169265.0
Hawkesbury,5985.0,1725.0,0.0,925.0,5.0,35.0,315.0,740.0,2245.0
Hawkesbury (Ontario part),5080.0,1470.0,0.0,810.0,0.0,30.0,265.0,680.0,1815.0
Hawkesbury (Quebec part),905.0,250.0,0.0,110.0,5.0,5.0,50.0,55.0,425.0
High River,5790.0,725.0,0.0,105.0,275.0,5.0,730.0,1035.0,2910.0
Ingersoll,5465.0,625.0,65.0,80.0,0.0,10.0,385.0,405.0,3895.0
Joliette,24565.0,9810.0,210.0,1925.0,55.0,165.0,515.0,730.0,11155.0
Kamloops,47100.0,7350.0,855.0,4060.0,2190.0,85.0,4215.0,3360.0,24995.0
Kawartha Lakes,32710.0,2220.0,730.0,840.0,230.0,80.0,650.0,555.0,27395.0
Kelowna,94335.0,21395.0,2585.0,9045.0,4235.0,175.0,5955.0,4605.0,46335.0
Kenora,6510.0,715.0,160.0,245.0,90.0,15.0,85.0,175.0,5020.0
Kentville,11935.0,1835.0,10.0,555.0,395.0,30.0,100.0,850.0,8160.0
Kingston,73510.0,9925.0,9880.0,2395.0,315.0,145.0,4605.0,4580.0,41665.0
Kitchener - Cambridge - Waterloo,219060.0,29035.0,28685.0,6240.0,250.0,300.0,25590.0,12905.0,116045.0
Lachute,6530.0,2255.0,0.0,675.0,5.0,60.0,115.0,195.0,3225.0
Lacombe,5195.0,695.0,0.0,110.0,365.0,15.0,255.0,460.0,3285.0
Ladysmith,6505.0,395.0,0.0,210.0,325.0,40.0,255.0,280.0,4995.0
Lethbridge,48645.0,5625.0,825.0,3105.0,1295.0,20.0,2725.0,2750.0,32300.0
Lloydminster,13885.0,2385.0,105.0,110.0,435.0,5.0,1095.0,335.0,9420.0
Lloydminster (Alberta part),7640.0,1570.0,40.0,65.0,205.0,0.0,325.0,215.0,5225.0
Lloydminster (Saskatchewan part),6250.0,815.0,70.0,40.0,230.0,5.0,770.0,120.0,4200.0
