GEO_NAME,0,"$10,000 to $19,999","$100,000 and over","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","Under $10,000 (including loss)"
Abbotsford - Mission,315125.0,20100.0,24750.0,25155.0,20240.0,16665.0,13960.0,10920.0,8315.0,6145.0,4585.0,13830.0
Alma,49370.0,3315.0,3535.0,4050.0,3210.0,3280.0,2640.0,1690.0,1165.0,980.0,600.0,1570.0
Amos,30010.0,1685.0,2615.0,2210.0,1820.0,1900.0,1610.0,1205.0,915.0,710.0,485.0,955.0
Baie-Comeau,43810.0,2360.0,4625.0,3130.0,2775.0,2815.0,2350.0,1580.0,1165.0,1000.0,805.0,1295.0
Barrie,348010.0,19605.0,36705.0,25705.0,21540.0,18340.0,15045.0,12180.0,9645.0,7550.0,6170.0,13295.0
Bathurst,54145.0,3680.0,2425.0,5295.0,4205.0,3555.0,2295.0,1510.0,1145.0,870.0,530.0,2125.0
Belleville - Quinte West,183995.0,12065.0,13085.0,14515.0,12040.0,10995.0,8935.0,6680.0,5330.0,3385.0,2375.0,6070.0
Brandon,85525.0,4600.0,6205.0,6240.0,5715.0,5360.0,4315.0,3170.0,2315.0,1790.0,1460.0,3310.0
Brantford,234520.0,13980.0,19445.0,18070.0,15165.0,13270.0,11340.0,8780.0,6195.0,4685.0,3615.0,8300.0
Brockville,53880.0,3595.0,3865.0,4460.0,3815.0,3280.0,2625.0,1820.0,1295.0,900.0,750.0,1710.0
Brooks,22465.0,915.0,1475.0,1395.0,1290.0,1315.0,1760.0,900.0,555.0,375.0,360.0,915.0
Calgary,2382700.0,106820.0,360895.0,166180.0,133325.0,114630.0,94680.0,79280.0,64120.0,50195.0,42215.0,100140.0
Campbell River,68050.0,4010.0,5815.0,5345.0,4805.0,4100.0,3165.0,2250.0,1875.0,1300.0,1045.0,2380.0
Campbellton,22220.0,1615.0,745.0,2275.0,1960.0,1475.0,860.0,565.0,380.0,305.0,190.0,865.0
Campbellton (New Brunswick part),19970.0,1405.0,680.0,2030.0,1795.0,1350.0,755.0,500.0,350.0,270.0,180.0,790.0
Campbellton (Quebec part),2255.0,210.0,70.0,250.0,165.0,125.0,105.0,70.0,30.0,30.0,15.0,80.0
Camrose,30025.0,1425.0,2790.0,2645.0,2015.0,1695.0,1360.0,1055.0,830.0,590.0,540.0,920.0
Canmore,26970.0,970.0,4695.0,1460.0,1755.0,1480.0,1325.0,980.0,790.0,695.0,500.0,870.0
Cape Breton,167070.0,11195.0,7420.0,16995.0,12405.0,10050.0,7100.0,4795.0,3205.0,2400.0,1965.0,6635.0
Centre Wellington,50620.0,2545.0,5980.0,3290.0,2895.0,2675.0,2545.0,2245.0,1665.0,1140.0,1035.0,1600.0
Charlottetown,129925.0,6790.0,8635.0,10355.0,9675.0,7920.0,6405.0,4750.0,3235.0,2550.0,1865.0,4645.0
Chatham-Kent,170995.0,11255.0,11320.0,13920.0,12145.0,10565.0,8135.0,5895.0,4140.0,2865.0,2185.0,6495.0
Chilliwack,182370.0,11155.0,15175.0,14200.0,11780.0,10215.0,8225.0,6355.0,4775.0,3610.0,3020.0,7570.0
Cobourg,34485.0,2120.0,3110.0,2690.0,2360.0,2085.0,1630.0,1215.0,925.0,635.0,515.0,1060.0
