,CENSUS_YEAR,DGUID,GEO_LEVEL,GEO_NAME,CHARACTERISTIC_NAME,C1_COUNT_TOTAL,C2_COUNT_MEN+,C3_COUNT_WOMEN+,Level,Lvl-0,Lvl-1,Lvl-2,Lvl-3,Lvl-4,Lvl-5,Lvl-6,Lvl-7,Lvl-8
7,2021,2021S0503001,Census metropolitan area,St. John's,Total - Age groups of the population - 100% data,212580.0,103480.0,109100.0,0.0,Total - Age groups of the population - 100% data,,,,,,,,
8,2021,2021S0503001,Census metropolitan area,St. John's,  0 to 14 years,31570.0,16200.0,15370.0,1.0,Total - Age groups of the population - 100% data,0 to 14 years,,,,,,,
9,2021,2021S0503001,Census metropolitan area,St. John's,    0 to 4 years,9135.0,4715.0,4420.0,2.0,Total - Age groups of the population - 100% data,0 to 14 years,0 to 4 years,,,,,,
10,2021,2021S0503001,Census metropolitan area,St. John's,    5 to 9 years,10775.0,5510.0,5265.0,2.0,Total - Age groups of the population - 100% data,0 to 14 years,5 to 9 years,,,,,,
11,2021,2021S0503001,Census metropolitan area,St. John's,    10 to 14 years,11655.0,5975.0,5680.0,2.0,Total - Age groups of the population - 100% data,0 to 14 years,10 to 14 years,,,,,,
12,2021,2021S0503001,Census metropolitan area,St. John's,  15 to 64 years,142400.0,69995.0,72405.0,1.0,Total - Age groups of the population - 100% data,15 to 64 years,,,,,,,
13,2021,2021S0503001,Census metropolitan area,St. John's,    15 to 19 years,11235.0,5780.0,5455.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,15 to 19 years,,,,,,
14,2021,2021S0503001,Census metropolitan area,St. John's,    20 to 24 years,13645.0,7080.0,6565.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,20 to 24 years,,,,,,
15,2021,2021S0503001,Census metropolitan area,St. John's,    25 to 29 years,13605.0,6765.0,6840.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,25 to 29 years,,,,,,
16,2021,2021S0503001,Census metropolitan area,St. John's,    30 to 34 years,14630.0,7250.0,7380.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,30 to 34 years,,,,,,
17,2021,2021S0503001,Census metropolitan area,St. John's,    35 to 39 years,15020.0,7400.0,7625.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,35 to 39 years,,,,,,
18,2021,2021S0503001,Census metropolitan area,St. John's,    40 to 44 years,14735.0,7065.0,7675.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,40 to 44 years,,,,,,
19,2021,2021S0503001,Census metropolitan area,St. John's,    45 to 49 years,14490.0,7100.0,7390.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,45 to 49 years,,,,,,
20,2021,2021S0503001,Census metropolitan area,St. John's,    50 to 54 years,14850.0,7140.0,7710.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,50 to 54 years,,,,,,
21,2021,2021S0503001,Census metropolitan area,St. John's,    55 to 59 years,15570.0,7400.0,8170.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,55 to 59 years,,,,,,
22,2021,2021S0503001,Census metropolitan area,St. John's,    60 to 64 years,14610.0,7015.0,7595.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,60 to 64 years,,,,,,
23,2021,2021S0503001,Census metropolitan area,St. John's,  65 years and over,38615.0,17280.0,21330.0,1.0,Total - Age groups of the population - 100% data,65 years and over,,,,,,,
24,2021,2021S0503001,Census metropolitan area,St. John's,    65 to 69 years,12870.0,6115.0,6760.0,2.0,Total - Age groups of the population - 100% data,65 years and over,65 to 69 years,,,,,,
25,2021,2021S0503001,Census metropolitan area,St. John's,    70 to 74 years,10645.0,4875.0,5770.0,2.0,Total - Age groups of the population - 100% data,65 years and over,70 to 74 years,,,,,,
26,2021,2021S0503001,Census metropolitan area,St. John's,    75 to 79 years,7185.0,3255.0,3935.0,2.0,Total - Age groups of the population - 100% data,65 years and over,75 to 79 years,,,,,,
27,2021,2021S0503001,Census metropolitan area,St. John's,    80 to 84 years,4325.0,1835.0,2490.0,2.0,Total - Age groups of the population - 100% data,65 years and over,80 to 84 years,,,,,,
28,2021,2021S0503001,Census metropolitan area,St. John's,    85 years and over,3585.0,1210.0,2380.0,2.0,Total - Age groups of the population - 100% data,65 years and over,85 years and over,,,,,,
29,2021,2021S0503001,Census metropolitan area,St. John's,      85 to 89 years,2280.0,875.0,1405.0,3.0,Total - Age groups of the population - 100% data,65 years and over,85 years and over,85 to 89 years,,,,,
30,2021,2021S0503001,Census metropolitan area,St. John's,      90 to 94 years,985.0,265.0,720.0,3.0,Total - Age groups of the population - 100% data,65 years and over,85 years and over,90 to 94 years,,,,,
31,2021,2021S0503001,Census metropolitan area,St. John's,      95 to 99 years,285.0,60.0,225.0,3.0,Total - Age groups of the population - 100% data,65 years and over,85 years and over,95 to 99 years,,,,,
32,2021,2021S0503001,Census metropolitan area,St. John's,      100 years and over,25.0,10.0,25.0,3.0,Total - Age groups of the population - 100% data,65 years and over,85 years and over,100 years and over,,,,,
40,2021,2021S0503001,Census metropolitan area,St. John's,Total - Occupied private dwellings by structural type of dwelling - 100% data,90000.0,,,0.0,Total - Occupied private dwellings by structural type of dwelling - 100% data,,,,,,,,
41,2021,2021S0503001,Census metropolitan area,St. John's,  Single-detached house,49215.0,,,1.0,Total - Occupied private dwellings by structural type of dwelling - 100% data,Single-detached house,,,,,,,
42,2021,2021S0503001,Census metropolitan area,St. John's,  Semi-detached house,4210.0,,,1.0,Total - Occupied private dwellings by structural type of dwelling - 100% data,Semi-detached house,,,,,,,
43,2021,2021S0503001,Census metropolitan area,St. John's,  Row house,6285.0,,,1.0,Total - Occupied private dwellings by structural type of dwelling - 100% data,Row house,,,,,,,
44,2021,2021S0503001,Census metropolitan area,St. John's,  Apartment or flat in a duplex,22210.0,,,1.0,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment or flat in a duplex,,,,,,,
45,2021,2021S0503001,Census metropolitan area,St. John's,  Apartment in a building that has fewer than five storeys,7225.0,,,1.0,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment in a building that has fewer than five storeys,,,,,,,
46,2021,2021S0503001,Census metropolitan area,St. John's,  Apartment in a building that has five or more storeys,550.0,,,1.0,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment in a building that has five or more storeys,,,,,,,
