GEO_NAME,0 to 4 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,High (secondary) school diploma or equivalency certificate,"No certificate, diploma or degree","Postsecondary certificate, diploma or degree","Under $10,000 (including loss)","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","$100,000 and over",Immigrants,Non-immigrants,Non-permanent residents,Married or living common-law,Not married and not living common-law,With children,Without children,Apartment in a building that has fewer than five storeys,Apartment in a building that has five or more storeys,Apartment or flat in a duplex,Movable dwelling,Other single-attached house,Row house,Semi-detached house,Single-detached house
Abbotsford - Mission,10425,11910,12225,11785,12395,12680,13690,14175,12885,12085,11960,12500,12245,10750,9160,6180,4305,8715,55065,30110,229970,13830,20100,25155,20240,16665,13960,10920,8315,6145,4585,24750,113400,136190,5840,201485,132420,24725,20920,15550,1160,14035,335,60,5590,1710,29170
Alma,1330,1540,1775,1585,1390,1445,1510,1700,1910,1620,1610,2480,2870,2405,1790,1440,960,1950,5045,4855,50180,1570,3315,4050,3210,3280,2640,1690,1165,980,600,3535,650,28955,105,37410,21050,2920,4505,3225,30,1895,70,135,250,1070,7145
Amos,955,1145,1185,1045,990,1105,1110,1155,1255,1095,1070,1410,1515,1315,1060,705,420,660,2885,3965,27915,955,1685,2210,1820,1900,1610,1205,915,710,485,2615,590,17870,110,22605,13295,1870,2520,1830,5,600,70,45,185,275,5235
Baie-Comeau,1085,1370,1350,1235,1250,1255,1400,1455,1635,1595,1815,2535,2570,1955,1555,1280,705,1170,4685,4850,42005,1295,2360,3130,2775,2815,2350,1580,1165,1000,805,4625,750,25260,145,34005,18850,2530,4080,2315,100,375,1280,65,295,750,7180
Barrie,10830,12245,13125,13070,13330,14160,14720,14455,13960,14110,14330,16150,13930,10660,8835,6165,4235,9075,54350,27405,287275,13295,19605,25705,21540,18340,15045,12180,9645,7550,6170,36705,78615,171405,3410,220955,152630,27000,22210,6895,4430,4180,75,70,7020,2475,53395
Bathurst,1035,1145,1295,1350,1465,1445,1470,1475,1805,1905,2305,2745,2965,2800,2490,1705,1100,1790,7370,6210,43260,2125,3680,5295,4205,3555,2295,1510,1145,870,530,2425,1820,29505,290,38310,22210,2940,5335,1595,5,830,315,85,770,510,10295
Belleville - Quinte West,5320,5870,6075,5615,5755,6680,6905,6620,6345,6055,6725,8975,9005,7725,6665,4465,3160,6470,30390,15835,143170,6070,12065,14515,12040,10995,8935,6680,5330,3385,2375,13085,19685,99070,1115,119975,79410,11620,15075,6360,2630,1030,385,165,2245,1600,31790
Brandon,3160,3540,3310,3340,4090,3880,4040,4015,3755,3300,2840,3160,3000,2575,2240,1475,1230,2620,14140,7280,67030,3310,4600,6240,5715,5360,4315,3170,2315,1790,1460,6205,23275,42410,1160,53610,39410,5925,5950,5220,725,530,1185,30,1600,915,12075
Brantford,7595,8380,8695,8260,8300,9065,9325,9470,9040,8835,9005,10400,9935,8745,7330,4915,3255,7185,36890,21665,183655,8300,13980,18070,15165,13270,11340,8780,6195,4685,3615,19445,44620,120245,1435,149600,102205,17235,16285,5025,4550,1780,70,105,4735,2905,36835
Brockville,1175,1305,1465,1585,1600,1615,1655,1510,1565,1765,2015,2610,2795,2485,2375,1645,1295,2400,8320,4560,43830,1710,3595,4460,3815,3280,2625,1820,1295,900,750,3865,6130,27930,95,33515,24955,2800,4655,3005,685,125,35,90,845,990,8655
Brooks,1020,1180,1205,1085,915,855,1005,1265,1300,1105,865,765,680,545,390,295,185,510,4080,3215,12680,915,915,1395,1290,1315,1760,900,555,375,360,1475,14530,8860,350,14225,9765,1830,1220,800,0,180,395,0,560,405,2800
Calgary,84655,94065,95470,84790,86665,96745,117760,125330,114275,104035,96040,93675,88445,70735,52690,32545,21365,45045,312050,151525,2258560,100140,106820,166180,133325,114630,94680,79280,64120,50195,42215,360895,1094920,976430,27865,1539685,984175,196080,152595,86640,40750,21405,2255,315,55260,36290,320530
Campbell River,1675,2055,2195,2020,1740,1980,2305,2450,2455,2255,2465,3020,3595,3470,2960,1910,1110,2080,11505,5340,55575,2380,4010,5345,4805,4100,3165,2250,1875,1300,1045,5815,9000,35595,230,46255,27805,3805,6360,2840,0,740,950,5,1080,850,11175
Campbellton,460,505,590,620,570,650,655,650,625,770,930,1310,1290,1185,990,640,465,860,2875,3025,16750,865,1615,2275,1960,1475,860,565,380,305,190,745,700,12290,75,14065,11295,1100,1885,1175,0,325,145,95,255,170,3970
Campbellton (New Brunswick part),415,425,515,570,525,585,595,575,550,685,845,1180,1170,1060,885,580,420,795,2580,2660,15115,790,1405,2030,1795,1350,755,500,350,270,180,680,675,10980,75,12565,10230,985,1700,1040,0,310,140,95,250,135,3525
Campbellton (Quebec part),45,75,75,55,40,60,60,70,75,85,80,130,125,120,100,60,45,60,290,355,1640,80,210,250,165,125,105,70,30,30,15,70,20,1305,0,1495,1065,115,190,135,0,15,5,0,10,30,445
Camrose,940,1100,1135,985,1025,1105,1185,1165,1115,990,1055,1240,1220,1175,1050,855,670,1535,4735,2830,23800,920,1425,2645,2015,1695,1360,1055,830,590,540,2790,4740,16145,180,19105,13480,1850,2475,1605,60,205,170,10,455,560,5075
Canmore,620,720,715,700,800,1140,1330,1330,1200,1140,1100,1215,1200,1105,755,440,245,460,2950,920,29735,870,970,1460,1755,1480,1325,980,790,695,500,4695,7870,11705,550,19520,10460,1640,2570,1670,255,385,10,5,1340,560,2575
Cape Breton,3790,4435,4890,4955,5445,5705,5110,4925,5040,5640,6310,7985,8750,8235,6745,4465,3025,5750,23870,16315,138990,6635,11195,16995,12405,10050,7100,4795,3205,2400,1965,7420,5050,92120,2335,92205,85885,8455,12185,4550,215,1905,1170,70,760,2860,32275
Centre Wellington,1670,1815,1855,1765,1510,1595,1860,1910,1775,1800,1950,2360,2285,2115,1865,1270,860,1670,7420,3815,44000,1600,2545,3290,2895,2675,2545,2245,1665,1140,1035,5980,7300,27085,110,35615,18320,3950,4235,1570,110,180,100,15,740,570,8685
Charlottetown,3510,4240,4655,4390,6380,5280,4960,4905,4910,4910,4955,5385,5135,4920,4260,2665,1710,3400,16435,7555,126685,4645,6790,10355,9675,7920,6405,4750,3235,2550,1865,8635,21930,64980,4020,81545,58045,8750,9525,7905,85,710,945,35,1175,2305,19775
Chatham-Kent,5075,5670,5875,5810,5520,5485,5630,5970,5675,5805,6405,8125,8675,7735,6505,4445,2960,5895,27555,18325,124310,6495,11255,13920,12145,10565,8135,5895,4140,2865,2185,11320,19915,92315,530,110330,73880,10795,14085,5090,1535,735,175,80,1540,1445,33575
Chilliwack,6395,6860,7130,6520,5640,6345,7000,7615,6620,6570,6945,7810,8075,7200,6530,4625,2985,5790,32830,15095,138795,7570,11155,14200,11780,10215,8225,6355,4775,3610,3020,15175,35805,94570,795,119885,75930,12560,14590,7580,290,1745,1625,45,5935,1655,25495
Cobourg,760,845,930,965,835,895,1015,1085,965,985,1055,1510,1680,1735,1805,1300,1010,2280,5550,2540,28565,1060,2120,2690,2360,2085,1630,1215,925,635,515,3110,5400,17190,40,22340,15565,1820,3175,1785,365,170,0,30,1125,410,5255
Collingwood,970,1120,1205,1165,1060,1260,1350,1325,1315,1420,1350,1740,2095,2085,1930,1395,950,2155,6345,2900,36260,1270,2325,3350,2845,2415,1885,1475,1160,815,650,4770,6850,20950,115,26960,18470,2380,3625,2010,450,250,0,25,1385,750,6300
Corner Brook,1055,1330,1380,1550,1610,1505,1585,1650,1790,1870,2110,2410,2430,2325,2140,1395,885,1480,7045,4245,44645,1815,3260,4235,3655,3260,2420,1485,1065,900,725,3255,1580,28160,160,32995,21775,3050,4355,1055,0,1925,10,60,425,440,9320
Cornwall,2970,3310,3360,3035,3015,3670,3580,3365,3255,3275,3540,4745,5050,4435,4000,2735,1990,4170,16885,10235,72695,3325,6990,8845,7220,6375,4905,3450,2220,1520,1125,5065,10190,54655,570,63300,46680,5745,8120,4665,1150,1810,115,120,1265,2275,15395
Courtenay,2435,3115,3100,2855,2485,2815,3340,3840,3670,3550,3590,4760,5405,5315,5035,3545,2245,4370,16315,6880,95855,3780,6170,8525,7510,6310,5055,3880,3015,2085,1540,8555,17280,53470,550,72555,43560,5825,10240,3585,45,875,975,55,1710,2810,18145
Cowansville,725,770,790,720,625,810,825,875,895,790,855,1055,1215,1140,1130,810,575,1275,3320,2895,19580,660,1655,2340,1875,1740,1170,780,545,360,200,990,1040,13755,45,17030,11935,1255,2080,3120,5,550,35,60,80,330,2805
Cranbrook,1125,1340,1550,1430,1435,1510,1590,1615,1570,1540,1730,2065,2150,2075,1650,1175,775,1430,7345,3380,37325,1645,2440,3335,2930,2450,2050,1530,1190,895,735,4965,5200,23590,390,30465,18285,2720,4060,1300,0,255,850,50,530,510,7890
Dawson Creek,1120,1215,1085,1045,1115,1290,1370,1345,1075,1050,1045,1230,1170,925,695,450,320,640,4415,3045,21610,1045,1415,1905,1695,1455,1240,1010,810,685,520,3600,3775,15415,445,18065,12715,1870,2045,1085,0,165,405,10,340,330,5215
Dolbeau-Mistassini,645,775,920,785,630,615,670,815,955,780,795,1260,1455,1270,1150,770,450,1105,2545,3045,23565,810,1760,2230,1730,1580,1215,885,610,455,300,1235,305,14515,85,18635,10635,1395,2355,1330,0,645,110,80,65,345,4385
Drummondville,5215,5720,6060,5415,5185,5610,5940,6075,7225,5940,5840,7250,7485,7125,6215,4260,2625,4835,18935,18380,149665,4765,10670,14780,11305,11410,8920,6010,3820,2845,1695,7600,9105,93735,1130,119355,73530,9955,13375,13610,490,3545,480,170,820,2405,24180
Duncan,1970,2445,2520,2350,2035,2100,2510,2750,2620,2565,2845,3670,4095,4035,3645,2340,1575,3020,12705,6660,64675,3275,4895,6330,5565,4670,3655,2590,2020,1480,1115,5925,12650,40330,275,51960,34165,4400,7035,2940,10,925,825,85,1225,1155,12850
Edmonton,83630,91040,89160,80195,88185,99195,113995,116235,102840,90635,85130,88310,85115,69870,52960,33995,23245,48790,326620,163530,2032930,85855,99090,160645,128455,111945,96120,82555,66815,52410,44640,301345,877330,1008260,25580,1429530,986390,175655,146315,105235,30920,10955,6525,140,46405,38475,309965
Edmundston,715,840,1030,1010,950,955,1010,1150,1265,1360,1415,1890,2155,2000,1755,1090,740,1650,5155,3895,30265,1265,2520,3460,2830,2525,1725,1075,820,635,330,1730,1740,19915,295,25755,16980,2010,3405,1725,125,615,355,40,260,340,6805
Elliot Lake,355,400,420,375,350,405,470,485,445,420,590,875,1240,1285,1320,910,590,860,3165,2545,13925,720,1755,2445,1450,1080,705,475,330,200,145,950,2405,10030,15,12260,9350,705,2015,880,575,50,0,0,605,1100,2625
Essa,1455,1615,1550,1345,1220,1465,1825,1915,1545,1540,1560,1795,1410,1015,800,480,250,360,6300,2850,28565,1390,1810,2255,1895,1910,1690,1660,1365,975,710,3660,5810,20005,100,25800,13320,3365,2425,225,55,155,120,15,470,800,6110
Estevan,760,825,840,775,655,810,950,945,905,805,750,920,830,695,460,350,230,590,3780,1985,14360,730,850,1205,1115,1105,875,745,595,515,405,3260,3585,11075,130,13740,8125,1525,1565,930,45,75,280,10,155,165,3680
Fort St. John,2085,2000,2020,1730,1980,2520,2610,2465,2025,1755,1675,1675,1470,1075,670,445,295,480,7770,4270,33855,1900,1755,2415,2160,2115,1845,1640,1345,1185,1085,8095,7675,24685,720,29890,18695,3430,3060,1735,145,240,1105,15,920,1010,6425
Fredericton,5020,6005,6005,5995,7735,7225,7045,7345,7000,7010,6950,7755,7160,6485,5550,3715,2480,4265,25825,10880,165545,6785,9760,13405,11855,10955,8350,6630,5180,4005,2760,14470,23900,95865,1790,118460,75575,12020,14495,10120,415,2775,3345,190,1290,920,27300
Gander,565,675,780,800,670,645,780,835,800,980,1070,980,960,805,775,505,405,760,3055,1825,19665,820,1360,1655,1495,1275,930,715,560,420,395,2120,795,12695,80,15545,8590,1520,1965,595,15,480,50,0,285,355,3955
