GEO_NAME,0,With children,Without children
Abbotsford - Mission,161245.0,24725.0,20920.0
Alma,25910.0,2920.0,4505.0
Amos,15765.0,1870.0,2520.0
Baie-Comeau,23035.0,2530.0,4080.0
Barrie,180540.0,27000.0,22210.0
Bathurst,28630.0,2940.0,5335.0
Belleville - Quinte West,97040.0,11620.0,15075.0
Brandon,43225.0,5925.0,5950.0
Brantford,123595.0,17235.0,16285.0
Brockville,27480.0,2800.0,4655.0
Brooks,11290.0,1830.0,1220.0
Calgary,1220485.0,196080.0,152595.0
Campbell River,36350.0,3805.0,6360.0
Campbellton,11275.0,1100.0,1885.0
Campbellton (New Brunswick part),10130.0,985.0,1700.0
Campbellton (Quebec part),1150.0,115.0,190.0
Camrose,15560.0,1850.0,2475.0
Canmore,13880.0,1640.0,2570.0
Cape Breton,84600.0,8455.0,12185.0
Centre Wellington,27800.0,3950.0,4235.0
Charlottetown,64845.0,8750.0,9525.0
Chatham-Kent,90225.0,10795.0,14085.0
Chilliwack,96535.0,12560.0,14590.0
Cobourg,18215.0,1820.0,3175.0
Collingwood,21400.0,2380.0,3625.0
Corner Brook,26795.0,3050.0,4355.0
Cornwall,52080.0,5745.0,8120.0
Courtenay,56285.0,5825.0,10240.0
Cowansville,12220.0,1255.0,2080.0
Cranbrook,23805.0,2720.0,4060.0
Dawson Creek,14395.0,1870.0,2045.0
Dolbeau-Mistassini,12995.0,1395.0,2355.0
Drummondville,83140.0,9955.0,13375.0
Duncan,41330.0,4400.0,7035.0
Edmonton,1154300.0,175655.0,146315.0
Edmundston,18845.0,2010.0,3405.0
Elliot Lake,9870.0,705.0,2015.0
Essa,20155.0,3365.0,2425.0
Estevan,10805.0,1525.0,1565.0
Fort St. John,23130.0,3430.0,3060.0
Fredericton,93655.0,12020.0,14495.0
Gander,12250.0,1520.0,1965.0
Granby,76625.0,8565.0,13065.0
Grand Falls-Windsor,12740.0,1425.0,2095.0
Grande Prairie,51395.0,7805.0,6140.0
Greater Sudbury / Grand Sudbury,146340.0,18210.0,21820.0
Guelph,137510.0,20680.0,18195.0
Halifax,392455.0,49670.0,59965.0
Hamilton,660505.0,97895.0,82980.0
Hawkesbury,9900.0,845.0,1685.0
Hawkesbury (Ontario part),8340.0,695.0,1440.0
Hawkesbury (Quebec part),1565.0,155.0,245.0
High River,12405.0,1530.0,1985.0
Ingersoll,12155.0,1665.0,1695.0
Joliette,42290.0,4365.0,7135.0
Kamloops,96120.0,11625.0,15515.0
Kawartha Lakes,72530.0,8195.0,12655.0
Kelowna,191395.0,22265.0,32970.0
Kenora,12765.0,1520.0,1995.0
Kentville,24065.0,2670.0,3940.0
Kingston,144360.0,17545.0,22605.0
Kitchener - Cambridge - Waterloo,474900.0,72385.0,60515.0
Lachute,11315.0,1120.0,1810.0
Lacombe,11190.0,1565.0,1595.0
Ladysmith,14375.0,1480.0,2660.0
Lethbridge,99220.0,13555.0,14540.0
Lloydminster,29550.0,4675.0,3485.0
Lloydminster (Alberta part),15955.0,2505.0,1955.0
Lloydminster (Saskatchewan part),13600.0,2170.0,1525.0
London,446835.0,61625.0,60840.0
Matane,15610.0,1535.0,2905.0
Medicine Hat,65025.0,7965.0,10225.0
Midland,23895.0,2525.0,3865.0
Miramichi,24655.0,2680.0,3975.0
Moncton,133910.0,16995.0,20750.0
Montréal,3429110.0,491220.0,444405.0
Moose Jaw,28530.0,3540.0,4255.0
Nanaimo,97925.0,10860.0,16215.0
Nelson,15865.0,1805.0,2655.0
New Glasgow,30125.0,3265.0,4715.0
Norfolk,60165.0,7265.0,10030.0
North Battleford,15570.0,1940.0,2080.0
North Bay,61845.0,7075.0,9895.0
Okotoks,26180.0,4365.0,3180.0
Orillia,27855.0,2960.0,4220.0
Oshawa,353770.0,56650.0,38710.0
Ottawa - Gatineau,1226075.0,175785.0,165655.0
Ottawa - Gatineau (Ontario part),933515.0,136265.0,126175.0
Ottawa - Gatineau (Quebec part),292560.0,39510.0,39485.0
Owen Sound,28415.0,3165.0,4720.0
Parksville,30370.0,2130.0,6955.0
Pembroke,20360.0,2340.0,3160.0
Penticton,41295.0,3800.0,7865.0
Petawawa,14745.0,2360.0,1955.0
Peterborough,109510.0,13260.0,17035.0
Port Alberni,22490.0,2225.0,3885.0
Port Hope,15805.0,1835.0,2605.0
Portage la Prairie,10535.0,1220.0,1450.0
Powell River,15630.0,1555.0,2955.0
Prince Albert,35750.0,4295.0,4410.0
Prince George,74855.0,9450.0,11050.0
Prince Rupert,11040.0,1445.0,1425.0
Quesnel,20355.0,2245.0,3415.0
Québec,690985.0,85635.0,112725.0
Red Deer,81200.0,11080.0,10890.0
Regina,203300.0,29330.0,26745.0
Rimouski,45035.0,5055.0,7915.0
Rivière-du-Loup,24715.0,2930.0,4290.0
Rouyn-Noranda,35280.0,4335.0,5720.0
Saguenay,139585.0,15795.0,24650.0
Saint John,113360.0,14025.0,16975.0
Saint-Georges,28405.0,3410.0,4560.0
Saint-Hyacinthe,47790.0,5320.0,7825.0
Sainte-Agathe-des-Monts,16860.0,1590.0,3035.0
Sainte-Marie,11125.0,1465.0,1740.0
Salaberry-de-Valleyfield,35210.0,3685.0,5840.0
Salmon Arm,16990.0,1895.0,2950.0
Sarnia,84920.0,10155.0,13515.0
Saskatoon,256125.0,37720.0,34150.0
Sault Ste. Marie,66130.0,7565.0,10085.0
Sept-Îles,23235.0,2775.0,3320.0
Shawinigan,39985.0,3620.0,7450.0
Sherbrooke,181915.0,21170.0,30090.0
Sorel-Tracy,35585.0,3455.0,6505.0
Squamish,20165.0,3095.0,2870.0
St. Catharines - Niagara,372675.0,46690.0,54875.0
St. John's,182690.0,24620.0,25745.0
Steinbach,14355.0,2145.0,2000.0
Stratford,28445.0,3350.0,4460.0
Strathmore,12265.0,1705.0,1690.0
Summerside,15140.0,1710.0,2405.0
Swift Current,15590.0,2080.0,2465.0
Sylvan Lake,14020.0,1960.0,1785.0
Terrace,16500.0,2085.0,2440.0
Thetford Mines,23080.0,2250.0,4310.0
Thompson,10045.0,1475.0,970.0
Thunder Bay,103020.0,12250.0,15545.0
Tillsonburg,16620.0,1840.0,2870.0
Timmins,34965.0,4280.0,5205.0
Toronto,5078735.0,838310.0,552175.0
Trail,12205.0,1325.0,2100.0
Trois-Rivières,130775.0,14195.0,22320.0
Truro,40580.0,4405.0,6700.0
Val-d'Or,28330.0,3510.0,4510.0
Vancouver,2174800.0,327035.0,288310.0
Vernon,58610.0,6315.0,10410.0
Victoria,329620.0,38365.0,56130.0
Victoriaville,43010.0,4970.0,7145.0
