Geography,15 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and over
"Corner Brook (CA), N.L. i3","8,100","34,000","48,000","50,000","34,000","11,200","1,310"
"Gander (CA), N.L. i4","7,550","38,400","52,800","54,000","32,800","7,550",360
"Grand Falls-Windsor (CA), N.L. i5","7,450","32,000","46,400","48,800","29,400","10,100","1,310"
"St. John's (CMA), N.L. i6","9,100","38,800","58,400","62,800","43,200","11,100","1,310"
"Charlottetown (CA), P.E.I. i8","11,100","34,400","48,400","52,000","41,600","14,600","1,620"
"Summerside (CA), P.E.I. i9","11,500","34,000","42,000","48,000","38,400","14,900","1,280"
"Cape Breton (CA), N.S. i11","9,400","25,400","38,800","43,200","35,600","14,200",745
"Halifax (CMA), N.S. i12","10,400","38,000","53,600","58,000","44,000","12,700","1,140"
"Kentville (CA), N.S. i13","10,900","33,600","42,400","46,000","36,000","9,300","1,070"
"New Glasgow (CA), N.S. i14","9,900","32,400","43,600","46,800","34,400","6,000",61
"Truro (CA), N.S. i15","11,600","32,400","44,000","48,400","38,000","10,800",512
"Bathurst (CA), N.B. i17","9,300","32,400","42,800","43,200","32,400","6,240",500
"Campbellton (CA), N.B./Que. i18","8,900","30,200","36,400","40,000","32,000","10,800",484
"Edmundston (CA), N.B. i21","10,800","38,000","45,600","46,400","33,600","5,280",218
"Fredericton (CMA), N.B. i22","10,700","36,400","52,000","55,200","44,000","14,000","1,500"
"Miramichi (CA), N.B. i23","10,200","32,400","45,600","47,600","36,000","14,700",608
"Moncton (CMA), N.B. i24","10,100","36,000","48,400","51,600","40,000","10,900",636
"Saint John (CMA), N.B. i25","10,400","36,800","48,400","52,400","41,200","13,300",532
"Alma (CA), Que. i27","11,200","38,800","50,400","53,200","35,600","6,320",765
"Amos (CA), Que. i28","12,400","44,800","54,000","55,200","40,800","13,400","2,560"
"Baie-Comeau (CA), Que. i29","11,700","46,000","56,400","62,400","38,400","5,400",508
"Cowansville (CA), Que. i30","12,800","35,200","44,800","45,600","35,600","6,850",244
"Dolbeau-Mistassini (CA), Que. i31","10,400","38,000","48,000","50,400","32,000","8,800","2,280"
"Drummondville (CMA), Que. i32","12,100","37,200","46,400","48,800","36,800","9,400",890
"Granby (CA), Que. i33","10,900","37,600","48,000","51,600","37,200","6,850",468
"Joliette (CA), Que. i34","12,400","38,000","48,800","50,000","36,000","7,800",452
"Lachute (CA), Que. i35","13,700","32,400","41,200","43,200","34,400","6,240",624
"Matane (CA), Que. i36","10,700","38,800","46,400","48,000","34,000","7,850",980
"Montréal (CMA), Que. i37","9,600","36,800","50,400","54,000","42,800","10,100",568
"Québec (CMA), Que. i38","11,000","42,000","58,000","60,400","44,800","8,400",675
"Rimouski (CA), Que. i39","10,800","38,000","52,400","55,200","36,000","7,250",372
"Rivière-du-Loup (CA), Que. i40","11,200","40,400","49,600","50,800","36,400","6,850",880
"Rouyn-Noranda (CA), Que. i41","13,000","45,200","57,600","59,200","39,600","8,700",675
"Saguenay (CMA), Que. i42","11,700","40,000","52,400","54,400","37,200","2,880",770
"Saint-Georges (CA), Que. i43","11,900","40,400","48,800","48,400","36,800","9,000",624
"Saint-Hyacinthe (CA), Que. i44","12,900","36,000","46,800","48,400","40,400","10,200",675
"Sainte-Agathe-des-Monts (CA), Que. i45","10,300","31,200","40,400","41,200","29,200","7,100",675
"Sainte-Marie (CA), Que. i46","12,400","43,600","51,200","52,800","42,400","8,100","1,000"
"Salaberry-de-Valleyfield (CA), Que. i47","13,900","38,400","47,200","46,800","36,000","4,640",308
"Sept-Îles (CA), Que. i48","11,900","46,000","62,400","61,200","42,800","8,800",508
"Shawinigan (CA), Que. i49","12,100","34,800","43,200","44,000","30,800","6,450",675
"Sherbrooke (CMA), Que. i50","11,500","35,600","49,600","52,400","39,200","8,600",584
"Sorel-Tracy (CA), Que. i51","12,300","41,600","51,200","52,000","38,800","6,700",472
"Thetford Mines (CA), Que. i52","11,800","36,800","44,800","45,600","33,600","6,400",675
"Trois-Rivières (CMA), Que. i53","11,400","36,000","49,600","52,000","37,200","6,500",675
"Val-d'Or (CA), Que. i54","12,700","47,600","57,600","60,400","42,800","12,000","2,000"
"Victoriaville (CA), Que. i55","11,200","37,600","46,400","47,200","35,600","7,250",700
"Barrie (CMA), Ont. i57","10,700","38,400","52,400","57,600","46,400","12,600",364
"Belleville - Quinte West (CMA), Ont. i58","11,600","38,800","49,600","52,000","40,400","9,600",332
"Brantford (CMA), Ont. i59","11,600","39,600","50,800","55,200","46,400","12,000",400
