GEO_NAME,"$10,000 to $19,999","$100,000 and over","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","Under $10,000 (including loss)"
Alberta,307390,931775,483175,384115,332120,277960,232840,187305,146920,124520,271260
British Columbia,474245,907095,627895,515780,442130,363335,284130,221755,172110,136185,385230
Canada,3448185,6320490,4635650,3723680,3290715,2677465,2073335,1592465,1239395,965950,2434730
Manitoba,118240,161015,161905,138225,124755,97815,72980,53950,41095,32150,101540
New Brunswick,79855,75400,111820,95545,84895,59310,42020,30185,23035,15420,48225
Newfoundland and Labrador,58585,72200,76150,60370,49770,35470,25270,18730,14360,12190,33110
Northwest Territories,2420,16845,3400,2860,2410,2045,1755,1895,1625,1560,3340
Nova Scotia,102030,113160,140270,111240,96235,72270,52910,40055,32100,23205,65365
Nunavut,3005,10050,3220,2265,1630,1200,890,815,880,840,3825
Ontario,1383475,2716225,1752040,1388215,1190885,985270,782980,612620,477445,385830,977950
Prince Edward Island,14340,13910,20890,19790,17000,12955,8715,5810,4350,3085,8895
Quebec,809375,1113560,1124265,896520,849005,687020,503110,367455,284690,198140,462400
Saskatchewan,92735,178435,126965,105405,96850,80190,63160,49340,38610,30895,71550
Yukon,2490,10810,3670,3340,3025,2625,2570,2535,2180,1940,2035
