GEO_NAME,"$10,000 to $19,999","$100,000 and over","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999",0 to 4 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,5 to 9 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Living common-law,Married,Not married and not living common law - Divorced,Not married and not living common law - Never married,Not married and not living common law - Separated,Not married and not living common law - Widowed,"Under $10,000 (including loss)",No high school diploma or equivalency certificate,With high school diploma or equivalency certificate
Alberta,307390.0,310591.6666666667,483175.0,384115.0,332120.0,277960.0,232840.0,187305.0,146920.0,124520.0,250250.0,280585.0,249765.0,248740.0,275465.0,323260.0,338945.0,307665.0,277770.0,278810.0,262770.0,274150.0,265240.0,217270.0,163890.0,105520.0,70160.0,28950.0,132261.0,1703285.0,214460.0,969780.0,83350.0,151455.0,271260.0,595665.0,2779465.0
British Columbia,474245.0,302365.0,627895.0,515780.0,442130.0,363335.0,284130.0,221755.0,172110.0,136185.0,216825.0,255790.0,253690.0,294650.0,337090.0,358585.0,353350.0,319740.0,310035.0,244290.0,329005.0,356345.0,355130.0,319405.0,272365.0,181075.0,121055.0,48985.0,171187.0,2036165.0,283035.0,1202625.0,110710.0,223475.0,385230.0,643330.0,3557095.0
Canada,3448185.0,2106830.0,4635650.0,3723680.0,3290715.0,2677465.0,2073335.0,1592465.0,1239395.0,965950.0,1831195.0,2126705.0,2012975.0,2202255.0,2421510.0,2518835.0,2511345.0,2399405.0,2304170.0,2054900.0,2368350.0,2647330.0,2571580.0,2210970.0,1847585.0,1260930.0,840545.0,344558.0,1560150.0,13725625.0,1921880.0,9025865.0,741135.0,1664295.0,2434730.0,5474175.0,24861745.0
Manitoba,118240.0,53671.666666666664,161905.0,138225.0,124755.0,97815.0,72980.0,53950.0,41095.0,32150.0,80435.0,86250.0,80905.0,91415.0,90470.0,91805.0,90150.0,84530.0,80235.0,86250.0,78210.0,87295.0,85155.0,73060.0,59955.0,39885.0,26890.0,11702.0,40314.0,515480.0,57440.0,330855.0,24470.0,60190.0,101540.0,220975.0,837440.0
New Brunswick,79855.0,25133.333333333332,111820.0,95545.0,84895.0,59310.0,42020.0,30185.0,23035.0,15420.0,32280.0,40605.0,39090.0,42125.0,42380.0,43485.0,45925.0,47320.0,50140.0,38240.0,52140.0,62315.0,62395.0,57190.0,48855.0,31675.0,20400.0,7615.0,34759.0,298905.0,38865.0,174335.0,21995.0,43480.0,48225.0,135565.0,512680.0
Newfoundland and Labrador,58585.0,24066.666666666668,76150.0,60370.0,49770.0,35470.0,25270.0,18730.0,14360.0,12190.0,18985.0,26175.0,25720.0,26075.0,25045.0,27525.0,29445.0,30890.0,33995.0,23030.0,38375.0,42150.0,42520.0,40450.0,34405.0,22365.0,13240.0,4062.0,19526.0,217395.0,24040.0,112120.0,9275.0,30715.0,33110.0,96375.0,337580.0
Northwest Territories,2420.0,5615.0,3400.0,2860.0,2410.0,2045.0,1755.0,1895.0,1625.0,1560.0,2825.0,2830.0,2530.0,2555.0,3150.0,3510.0,3135.0,2980.0,2620.0,2820.0,2730.0,2920.0,2365.0,1650.0,1115.0,695.0,350.0,115.0,2409.0,11415.0,1405.0,11950.0,735.0,1070.0,3340.0,9595.0,22320.0
Nova Scotia,102030.0,37720.0,140270.0,111240.0,96235.0,72270.0,52910.0,40055.0,32100.0,23205.0,40340.0,49300.0,48180.0,58005.0,60430.0,59575.0,57755.0,56420.0,59200.0,47070.0,63775.0,77080.0,76935.0,68395.0,59435.0,39325.0,25130.0,9214.0,39553.0,372690.0,52000.0,230425.0,25025.0,53655.0,65365.0,157255.0,662060.0
Nunavut,3005.0,3350.0,3220.0,2265.0,1630.0,1200.0,890.0,815.0,880.0,840.0,4385.0,3705.0,3085.0,2860.0,2990.0,3040.0,2370.0,2110.0,1930.0,3990.0,1985.0,1615.0,1190.0,720.0,485.0,220.0,105.0,32.0,2509.0,6210.0,480.0,10575.0,465.0,770.0,3825.0,14030.0,10510.0
Ontario,1383475.0,905408.3333333334,1752040.0,1388215.0,1190885.0,985270.0,782980.0,612620.0,477445.0,385830.0,683515.0,803850.0,801455.0,895600.0,975400.0,981210.0,948030.0,890160.0,894580.0,764430.0,941270.0,1040160.0,966575.0,813215.0,691280.0,469485.0,325110.0,135447.0,412535.0,5738390.0,695630.0,3515215.0,333775.0,657800.0,977950.0,1969920.0,9812905.0
Prince Edward Island,14340.0,4636.666666666667,20890.0,19790.0,17000.0,12955.0,8715.0,5810.0,4350.0,3085.0,6750.0,8800.0,8560.0,10570.0,9200.0,9000.0,8980.0,9130.0,9505.0,8085.0,9960.0,11640.0,11430.0,10500.0,9190.0,5775.0,3730.0,1406.0,5223.0,62350.0,7235.0,36455.0,3585.0,8010.0,8895.0,22245.0,104655.0
Quebec,809375.0,371186.6666666667,1124265.0,896520.0,849005.0,687020.0,503110.0,367455.0,284690.0,198140.0,422980.0,489425.0,429400.0,460660.0,527150.0,536040.0,550425.0,572565.0,516465.0,478955.0,522935.0,615690.0,625610.0,541970.0,455900.0,330840.0,210405.0,85766.0,662821.0,2310860.0,494210.0,2161975.0,106275.0,380100.0,462400.0,1426055.0,5492670.0
Saskatchewan,92735.0,59478.333333333336,126965.0,105405.0,96850.0,80190.0,63160.0,49340.0,38610.0,30895.0,69455.0,77120.0,68510.0,66870.0,70030.0,78380.0,79420.0,73055.0,65075.0,76545.0,62745.0,73165.0,74155.0,64770.0,48945.0,33045.0,23460.0,11106.0,34719.0,440040.0,50635.0,258905.0,20685.0,52330.0,71550.0,177330.0,705430.0
Yukon,2490.0,3603.3333333333335,3670.0,3340.0,3025.0,2625.0,2570.0,2535.0,2180.0,1940.0,2175.0,2275.0,2085.0,2140.0,2705.0,3415.0,3425.0,2840.0,2615.0,2375.0,2460.0,2805.0,2880.0,2370.0,1765.0,1025.0,505.0,154.0,2333.0,12450.0,2435.0,10650.0,795.0,1250.0,2035.0,5840.0,26940.0
