GEO_NAME,"$10,000 to $19,999","$100,000 and over","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","Under $10,000 (including loss)"
Alberta,307390.0,931775.0,483175.0,384115.0,332120.0,277960.0,232840.0,187305.0,146920.0,124520.0,271260.0
British Columbia,474245.0,907095.0,627895.0,515780.0,442130.0,363335.0,284130.0,221755.0,172110.0,136185.0,385230.0
Canada,3448185.0,6320490.0,4635650.0,3723680.0,3290715.0,2677465.0,2073335.0,1592465.0,1239395.0,965950.0,2434730.0
Manitoba,118240.0,161015.0,161905.0,138225.0,124755.0,97815.0,72980.0,53950.0,41095.0,32150.0,101540.0
New Brunswick,79855.0,75400.0,111820.0,95545.0,84895.0,59310.0,42020.0,30185.0,23035.0,15420.0,48225.0
Newfoundland and Labrador,58585.0,72200.0,76150.0,60370.0,49770.0,35470.0,25270.0,18730.0,14360.0,12190.0,33110.0
Northwest Territories,2420.0,16845.0,3400.0,2860.0,2410.0,2045.0,1755.0,1895.0,1625.0,1560.0,3340.0
Nova Scotia,102030.0,113160.0,140270.0,111240.0,96235.0,72270.0,52910.0,40055.0,32100.0,23205.0,65365.0
Nunavut,3005.0,10050.0,3220.0,2265.0,1630.0,1200.0,890.0,815.0,880.0,840.0,3825.0
Ontario,1383475.0,2716225.0,1752040.0,1388215.0,1190885.0,985270.0,782980.0,612620.0,477445.0,385830.0,977950.0
Prince Edward Island,14340.0,13910.0,20890.0,19790.0,17000.0,12955.0,8715.0,5810.0,4350.0,3085.0,8895.0
Quebec,809375.0,1113560.0,1124265.0,896520.0,849005.0,687020.0,503110.0,367455.0,284690.0,198140.0,462400.0
Saskatchewan,92735.0,178435.0,126965.0,105405.0,96850.0,80190.0,63160.0,49340.0,38610.0,30895.0,71550.0
Yukon,2490.0,10810.0,3670.0,3340.0,3025.0,2625.0,2570.0,2535.0,2180.0,1940.0,2035.0
