,GEO_NAME,CHARACTERISTIC_NAME,C1_COUNT_TOTAL,C2_COUNT_MEN+,C3_COUNT_WOMEN+,Level,Lvl-0,Lvl-1,Lvl-2,Lvl-3,Lvl-4,Lvl-5,Lvl-6,Lvl-7,Lvl-8
7,Canada,Total - Age groups of the population - 100% data,36991980.0,18226240.0,18765740.0,0.0,Total - Age groups of the population - 100% data,,,,,,,,
8,Canada,  0 to 14 years,6012795.0,3086510.0,2926285.0,1.0,Total - Age groups of the population - 100% data,0 to 14 years,,,,,,,
9,Canada,    0 to 4 years,1831195.0,938790.0,892405.0,2.0,Total - Age groups of the population - 100% data,0 to 14 years,0 to 4 years,,,,,,
10,Canada,    5 to 9 years,2054900.0,1054240.0,1000655.0,2.0,Total - Age groups of the population - 100% data,0 to 14 years,5 to 9 years,,,,,,
11,Canada,    10 to 14 years,2126705.0,1093480.0,1033225.0,2.0,Total - Age groups of the population - 100% data,0 to 14 years,10 to 14 years,,,,,,
12,Canada,  15 to 64 years,23957760.0,11915050.0,12042710.0,1.0,Total - Age groups of the population - 100% data,15 to 64 years,,,,,,,
13,Canada,    15 to 19 years,2012975.0,1036730.0,976240.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,15 to 19 years,,,,,,
14,Canada,    20 to 24 years,2202255.0,1138825.0,1063430.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,20 to 24 years,,,,,,
15,Canada,    25 to 29 years,2421510.0,1228135.0,1193370.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,25 to 29 years,,,,,,
16,Canada,    30 to 34 years,2518835.0,1252795.0,1266040.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,30 to 34 years,,,,,,
17,Canada,    35 to 39 years,2511345.0,1238515.0,1272835.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,35 to 39 years,,,,,,
18,Canada,    40 to 44 years,2399405.0,1175875.0,1223530.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,40 to 44 years,,,,,,
19,Canada,    45 to 49 years,2304170.0,1129185.0,1174985.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,45 to 49 years,,,,,,
20,Canada,    50 to 54 years,2368350.0,1161665.0,1206685.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,50 to 54 years,,,,,,
21,Canada,    55 to 59 years,2647330.0,1299975.0,1347350.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,55 to 59 years,,,,,,
22,Canada,    60 to 64 years,2571580.0,1253335.0,1318245.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,60 to 64 years,,,,,,
23,Canada,  65 years and over,7021430.0,3224680.0,3796750.0,1.0,Total - Age groups of the population - 100% data,65 years and over,,,,,,,
24,Canada,    65 to 69 years,2210970.0,1065305.0,1145665.0,2.0,Total - Age groups of the population - 100% data,65 years and over,65 to 69 years,,,,,,
25,Canada,    70 to 74 years,1847585.0,879850.0,967735.0,2.0,Total - Age groups of the population - 100% data,65 years and over,70 to 74 years,,,,,,
26,Canada,    75 to 79 years,1260930.0,589090.0,671845.0,2.0,Total - Age groups of the population - 100% data,65 years and over,75 to 79 years,,,,,,
27,Canada,    80 to 84 years,840545.0,370905.0,469645.0,2.0,Total - Age groups of the population - 100% data,65 years and over,80 to 84 years,,,,,,
28,Canada,    85 years and over,861395.0,319540.0,541860.0,2.0,Total - Age groups of the population - 100% data,65 years and over,85 years and over,,,,,,
29,Canada,      85 to 89 years,525445.0,212735.0,312705.0,3.0,Total - Age groups of the population - 100% data,65 years and over,85 years and over,85 to 89 years,,,,,
30,Canada,      90 to 94 years,258035.0,87300.0,170735.0,3.0,Total - Age groups of the population - 100% data,65 years and over,85 years and over,90 to 94 years,,,,,
31,Canada,      95 to 99 years,68380.0,17670.0,50715.0,3.0,Total - Age groups of the population - 100% data,65 years and over,85 years and over,95 to 99 years,,,,,
32,Canada,      100 years and over,9535.0,1830.0,7710.0,3.0,Total - Age groups of the population - 100% data,65 years and over,85 years and over,100 years and over,,,,,
40,Canada,Total - Occupied private dwellings by structural type of dwelling - 100% data,14978940.0,,,0.0,Total - Occupied private dwellings by structural type of dwelling - 100% data,,,,,,,,
41,Canada,  Single-detached house,7872310.0,,,1.0,Total - Occupied private dwellings by structural type of dwelling - 100% data,Single-detached house,,,,,,,
42,Canada,  Semi-detached house,746560.0,,,1.0,Total - Occupied private dwellings by structural type of dwelling - 100% data,Semi-detached house,,,,,,,
43,Canada,  Row house,980110.0,,,1.0,Total - Occupied private dwellings by structural type of dwelling - 100% data,Row house,,,,,,,
44,Canada,  Apartment or flat in a duplex,821490.0,,,1.0,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment or flat in a duplex,,,,,,,
45,Canada,  Apartment in a building that has fewer than five storeys,2738020.0,,,1.0,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment in a building that has fewer than five storeys,,,,,,,
46,Canada,  Apartment in a building that has five or more storeys,1596155.0,,,1.0,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment in a building that has five or more storeys,,,,,,,
47,Canada,  Other single-attached house,34880.0,,,1.0,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other single-attached house,,,,,,,
48,Canada,  Movable dwelling,189420.0,,,1.0,Total - Occupied private dwellings by structural type of dwelling - 100% data,Movable dwelling,,,,,,,
57,Canada,Total - Marital status for the total population aged 15 years and over - 100% data,30979185.0,15139730.0,15839460.0,0.0,Total - Marital status for the total population aged 15 years and over - 100% data,,,,,,,,
58,Canada,  Married or living common-law,17626005.0,8813405.0,8812595.0,1.0,Total - Marital status for the total population aged 15 years and over - 100% data,Married or living common-law,,,,,,,
59,Canada,    Married,13725625.0,6859755.0,6865875.0,2.0,Total - Marital status for the total population aged 15 years and over - 100% data,Married or living common-law,Married,,,,,,
60,Canada,    Living common-law,3900375.0,1953650.0,1946725.0,2.0,Total - Marital status for the total population aged 15 years and over - 100% data,Married or living common-law,Living common-law,,,,,,
61,Canada,      Living common law - Never married,2967665.0,1485985.0,1481685.0,3.0,Total - Marital status for the total population aged 15 years and over - 100% data,Married or living common-law,Living common-law,Living common law - Never married,,,,,
62,Canada,      Living common law - Separated,123830.0,65045.0,58785.0,3.0,Total - Marital status for the total population aged 15 years and over - 100% data,Married or living common-law,Living common-law,Living common law - Separated,,,,,
63,Canada,      Living common law - Divorced,721715.0,365760.0,355950.0,3.0,Total - Marital status for the total population aged 15 years and over - 100% data,Married or living common-law,Living common-law,Living common law - Divorced,,,,,
64,Canada,      Living common law - Widowed,87165.0,36860.0,50300.0,3.0,Total - Marital status for the total population aged 15 years and over - 100% data,Married or living common-law,Living common-law,Living common law - Widowed,,,,,
65,Canada,  Not married and not living common-law,13353180.0,6326325.0,7026860.0,1.0,Total - Marital status for the total population aged 15 years and over - 100% data,Not married and not living common-law,,,,,,,
66,Canada,    Not married and not living common law - Never married,9025865.0,4881410.0,4144455.0,2.0,Total - Marital status for the total population aged 15 years and over - 100% data,Not married and not living common-law,Not married and not living common law - Never married,,,,,,
67,Canada,    Not married and not living common law - Separated,741135.0,319045.0,422090.0,2.0,Total - Marital status for the total population aged 15 years and over - 100% data,Not married and not living common-law,Not married and not living common law - Separated,,,,,,
68,Canada,    Not married and not living common law - Divorced,1921880.0,760425.0,1161460.0,2.0,Total - Marital status for the total population aged 15 years and over - 100% data,Not married and not living common-law,Not married and not living common law - Divorced,,,,,,
69,Canada,    Not married and not living common law - Widowed,1664295.0,365440.0,1298855.0,2.0,Total - Marital status for the total population aged 15 years and over - 100% data,Not married and not living common-law,Not married and not living common law - Widowed,,,,,,
154,Canada,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,30336130.0,14861555.0,15474580.0,0.0,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,,,,,,,,
155,Canada,  Without total income,1094320.0,545400.0,548915.0,1.0,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,Without total income,,,,,,,
156,Canada,  With total income,29241815.0,14316150.0,14925660.0,1.0,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,,,,,,,
157,Canada,"    Under $10,000 (including loss)",2434730.0,1058420.0,1376310.0,2.0,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"Under $10,000 (including loss)",,,,,,
158,Canada,"    $10,000 to $19,999",3448185.0,1445240.0,2002945.0,2.0,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"$10,000 to $19,999",,,,,,
159,Canada,"    $20,000 to $29,999",4635650.0,2018080.0,2617570.0,2.0,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"$20,000 to $29,999",,,,,,
160,Canada,"    $30,000 to $39,999",3723680.0,1648300.0,2075375.0,2.0,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"$30,000 to $39,999",,,,,,
161,Canada,"    $40,000 to $49,999",3290715.0,1529960.0,1760755.0,2.0,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"$40,000 to $49,999",,,,,,
162,Canada,"    $50,000 to $59,999",2677465.0,1302135.0,1375330.0,2.0,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"$50,000 to $59,999",,,,,,
163,Canada,"    $60,000 to $69,999",2073335.0,1086545.0,986795.0,2.0,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"$60,000 to $69,999",,,,,,
164,Canada,"    $70,000 to $79,999",1592465.0,887985.0,704480.0,2.0,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"$70,000 to $79,999",,,,,,
165,Canada,"    $80,000 to $89,999",1239395.0,708430.0,530965.0,2.0,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"$80,000 to $89,999",,,,,,
166,Canada,"    $90,000 to $99,999",965950.0,553435.0,412510.0,2.0,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"$90,000 to $99,999",,,,,,
167,Canada,"    $100,000 and over",3160245.0,2077620.0,1082625.0,2.0,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"$100,000 and over",,,,,,
168,Canada,"      $100,000 to $149,999",2102630.0,1319110.0,783520.0,3.0,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"$100,000 and over","$100,000 to $149,999",,,,,
169,Canada,"      $150,000 and over",1057615.0,758510.0,299105.0,3.0,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,With total income,"$100,000 and over","$150,000 and over",,,,,
2638,Newfoundland and Labrador,Total - Age groups of the population - 100% data,510550.0,250075.0,260475.0,0.0,Total - Age groups of the population - 100% data,,,,,,,,
2639,Newfoundland and Labrador,  0 to 14 years,68190.0,35050.0,33140.0,1.0,Total - Age groups of the population - 100% data,0 to 14 years,,,,,,,
2640,Newfoundland and Labrador,    0 to 4 years,18985.0,9760.0,9225.0,2.0,Total - Age groups of the population - 100% data,0 to 14 years,0 to 4 years,,,,,,
2641,Newfoundland and Labrador,    5 to 9 years,23030.0,11750.0,11280.0,2.0,Total - Age groups of the population - 100% data,0 to 14 years,5 to 9 years,,,,,,
2642,Newfoundland and Labrador,    10 to 14 years,26175.0,13535.0,12640.0,2.0,Total - Age groups of the population - 100% data,0 to 14 years,10 to 14 years,,,,,,
2643,Newfoundland and Labrador,  15 to 64 years,321750.0,158345.0,163405.0,1.0,Total - Age groups of the population - 100% data,15 to 64 years,,,,,,,
2644,Newfoundland and Labrador,    15 to 19 years,25720.0,13275.0,12445.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,15 to 19 years,,,,,,
2645,Newfoundland and Labrador,    20 to 24 years,26075.0,13555.0,12515.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,20 to 24 years,,,,,,
2646,Newfoundland and Labrador,    25 to 29 years,25045.0,12610.0,12440.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,25 to 29 years,,,,,,
2647,Newfoundland and Labrador,    30 to 34 years,27525.0,13520.0,14005.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,30 to 34 years,,,,,,
2648,Newfoundland and Labrador,    35 to 39 years,29445.0,14205.0,15240.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,35 to 39 years,,,,,,
2649,Newfoundland and Labrador,    40 to 44 years,30890.0,14775.0,16115.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,40 to 44 years,,,,,,
2650,Newfoundland and Labrador,    45 to 49 years,33995.0,16485.0,17510.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,45 to 49 years,,,,,,
2651,Newfoundland and Labrador,    50 to 54 years,38375.0,18685.0,19685.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,50 to 54 years,,,,,,
2652,Newfoundland and Labrador,    55 to 59 years,42150.0,20530.0,21615.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,55 to 59 years,,,,,,
2653,Newfoundland and Labrador,    60 to 64 years,42520.0,20695.0,21830.0,2.0,Total - Age groups of the population - 100% data,15 to 64 years,60 to 64 years,,,,,,
2654,Newfoundland and Labrador,  65 years and over,120610.0,56680.0,63930.0,1.0,Total - Age groups of the population - 100% data,65 years and over,,,,,,,
2655,Newfoundland and Labrador,    65 to 69 years,40450.0,19715.0,20735.0,2.0,Total - Age groups of the population - 100% data,65 years and over,65 to 69 years,,,,,,
2656,Newfoundland and Labrador,    70 to 74 years,34405.0,16600.0,17805.0,2.0,Total - Age groups of the population - 100% data,65 years and over,70 to 74 years,,,,,,
2657,Newfoundland and Labrador,    75 to 79 years,22365.0,10585.0,11780.0,2.0,Total - Age groups of the population - 100% data,65 years and over,75 to 79 years,,,,,,
2658,Newfoundland and Labrador,    80 to 84 years,13240.0,5960.0,7280.0,2.0,Total - Age groups of the population - 100% data,65 years and over,80 to 84 years,,,,,,
2659,Newfoundland and Labrador,    85 years and over,10155.0,3820.0,6335.0,2.0,Total - Age groups of the population - 100% data,65 years and over,85 years and over,,,,,,
2660,Newfoundland and Labrador,      85 to 89 years,6745.0,2835.0,3910.0,3.0,Total - Age groups of the population - 100% data,65 years and over,85 years and over,85 to 89 years,,,,,
2661,Newfoundland and Labrador,      90 to 94 years,2710.0,835.0,1880.0,3.0,Total - Age groups of the population - 100% data,65 years and over,85 years and over,90 to 94 years,,,,,
2662,Newfoundland and Labrador,      95 to 99 years,620.0,135.0,485.0,3.0,Total - Age groups of the population - 100% data,65 years and over,85 years and over,95 to 99 years,,,,,
2663,Newfoundland and Labrador,      100 years and over,80.0,15.0,65.0,3.0,Total - Age groups of the population - 100% data,65 years and over,85 years and over,100 years and over,,,,,
2671,Newfoundland and Labrador,Total - Occupied private dwellings by structural type of dwelling - 100% data,223255.0,,,0.0,Total - Occupied private dwellings by structural type of dwelling - 100% data,,,,,,,,
2672,Newfoundland and Labrador,  Single-detached house,161410.0,,,1.0,Total - Occupied private dwellings by structural type of dwelling - 100% data,Single-detached house,,,,,,,
2673,Newfoundland and Labrador,  Semi-detached house,8695.0,,,1.0,Total - Occupied private dwellings by structural type of dwelling - 100% data,Semi-detached house,,,,,,,
2674,Newfoundland and Labrador,  Row house,10770.0,,,1.0,Total - Occupied private dwellings by structural type of dwelling - 100% data,Row house,,,,,,,
2675,Newfoundland and Labrador,  Apartment or flat in a duplex,27535.0,,,1.0,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment or flat in a duplex,,,,,,,
