GEO_NAME,0 to 4 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,5 to 9 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,High (secondary) school diploma or equivalency certificate,"No certificate, diploma or degree","Postsecondary certificate, diploma or degree",Immigrants,Non-immigrants,Non-permanent residents,Married or living common-law,Not married and not living common-law,With children,Without children,Apartment in a building that has fewer than five storeys,Apartment in a building that has five or more storeys,Apartment or flat in a duplex,Movable dwelling,Other single-attached house,Row house,Semi-detached house,Single-detached house,"$10,000 to $19,999","$100,000 and over","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","Under $10,000 (including loss)"
Abbotsford - Mission,0.012504786202828931,0.014282544081936919,0.015918266779120026,-0.007085754767373354,-0.02612911660415056,-0.01372646991953946,-0.0016922331758069758,-0.014565491953861214,-0.019704395067541933,0.017489652950744845,-0.025937420758782196,-0.03797342309816294,-0.02988927797175369,-0.020656898584423263,-0.016409332823770564,-0.022308708663418286,-0.01333636794470163,-0.023703093880615502,0.08416164168419618,0.06904278656858656,-0.07633904399061622,-0.011070818424749074,-0.015773293765264894,0.0008048320970350804,-0.015678969776567974,-0.034852515325708384,0.006879400264972107,-0.02373040132600725,-0.014116610072879277,-0.15712701243102764,0.47800421390429443,-0.316142258030631,-0.17967811568129147,-0.03582196694832722,-0.1750059215677345,-0.09611122833286906,0.02622654128258797,-0.09523324124294452,0.0032839286538302735,0.002008043116275888,-0.01995107534090096,-0.015172460221853635,-0.017626831715471036,-0.023895335390589537,-0.04171523448945954,-0.05519686707572983,0.008891025965851042
Alma,-0.27246843253269154,-0.262848867140049,-0.26067062205264874,-0.2633839674705574,-0.2600594401224465,-0.26380962402787866,-0.26475277981994433,-0.25760049642915855,-0.2593835865323795,-0.2713124188633062,-0.25860917275110806,-0.25633422622217594,-0.25720721620442893,-0.2670266260513455,-0.2750976385161536,-0.2622764364889119,-0.2551667634725455,-0.2558966665886857,-0.2911364241788028,-0.2529396155530617,-0.24920576891335655,-0.20392005716933398,-0.29437454774218363,-0.22030712366326125,-0.26135861939095906,-0.258915357111685,-0.25183410242377086,-0.27995571342954667,-0.19876128930027245,-0.1761872782868908,-0.15448082341753658,-0.5795682527343502,-0.05299554293302486,-0.2744209812586042,-0.21554019215319065,-0.32274102755871237,-0.24336696430004334,-0.2570342027973137,-0.25105483919603366,-0.26567864393013013,-0.26594809848600715,-0.2687748961190602,-0.2798541418535553,-0.2811293966198587,-0.2719912425191804,-0.27951659712535276,-0.24580976314862
Amos,-0.28421829036950524,-0.27849552097937647,-0.27531356322609535,-0.2726996680685832,-0.26713877345544346,-0.2720225354928487,-0.27624520450299483,-0.2721050912292788,-0.2714076262379734,-0.28231307637213454,-0.27074856850722945,-0.27965219621645676,-0.29006223554365823,-0.2992067342525372,-0.30072076784524987,-0.29948662213273847,-0.29420664795237683,-0.3001730463068543,-0.3073428180665293,-0.2642864513435296,-0.2706133979828533,-0.20402268204139318,-0.32317386606487813,-0.2201143495082828,-0.2835270619479669,-0.27451747023057027,-0.26429221651793183,-0.31094001099430607,-0.2196602205393973,-0.17660896558458689,-0.22194936734931345,-0.5795682527343502,-0.2050146302309448,-0.2773252763766132,-0.265891356396062,-0.3423942814302838,-0.26954732855978053,-0.2640507893931195,-0.27322888955584174,-0.28752741051818087,-0.2913105110329064,-0.2918500294206612,-0.29363315002440804,-0.290123594564938,-0.2840289041199596,-0.2859900648683155,-0.2585863524883753
Baie-Comeau,-0.2801450063194098,-0.2741197618548188,-0.2701614172576604,-0.26664446267986647,-0.2640155381614742,-0.2660681746807454,-0.2699190991728753,-0.26369021180325486,-0.2599561598516935,-0.27604687905697917,-0.2540006984362842,-0.2551356389794793,-0.26448139022787454,-0.2803119918224797,-0.2833461801494928,-0.27037661295559523,-0.2736022644769103,-0.28266843106943884,-0.2938374898267572,-0.2530033618215475,-0.2570659695710316,-0.20374901571590198,-0.3039743205164151,-0.21876493042343353,-0.26645713657478964,-0.26334148849292904,-0.2564614019444592,-0.2865896310441677,-0.21239428387203133,-0.17500655385334174,-0.2336717012370739,0.6232447796864056,-0.17123261083140703,-0.2724103154076749,-0.23580732744591873,-0.3223808893987621,-0.25870576667307954,-0.24872107302619598,-0.2621418643759377,-0.27251620757459205,-0.2744941288007232,-0.2752717783107731,-0.2829792777273569,-0.2811293966198587,-0.27109956388208567,-0.26797693723572347,-0.25152287220298214
Barrie,0.02519463266658768,0.03815032112497877,0.05076304346037717,0.01468969538051189,0.004686804963012588,0.007421777102758516,0.004212131798971257,0.009239759053969732,0.026674043796891516,0.026819324508865105,0.027341038393083727,0.04156918482625297,0.010967332793265804,-0.023313971738650102,-0.027816890401792884,-0.02306810020716985,-0.01839709371060569,-0.011346894889498683,0.07879702518895339,0.03455605531778242,-0.021240719992075514,-0.0705675880010718,0.07571682754584802,-0.09288340722249763,0.013474665926568976,0.005807537044719806,0.03387198080232089,-0.003594510213392823,-0.14377987163175052,-0.1019703138923794,-0.0354340103796137,-0.5745979509474877,-0.16278710598152257,0.028072525647870543,-0.12655480125855648,0.15315582666127642,0.01827606256567391,-0.0040557491202726555,0.009912041533120735,0.02244214136409314,0.010833012351893427,0.009134840391968727,0.01817017920262064,0.023953797677232554,0.020925189766447107,0.034024405729452686,-0.0022235680126352552
Bathurst,-0.28171165403098497,-0.27557834822967137,-0.26704301311887085,-0.2616372736084276,-0.2600594401224465,-0.26463091517437565,-0.269497358817534,-0.25992566048108623,-0.25285625069219997,-0.28231307637213454,-0.24298532080572965,-0.25055921496191014,-0.25490372776367115,-0.2553650272077943,-0.2505275145019517,-0.24886051921596763,-0.2450453119407374,-0.26138831058473766,-0.2736920418690973,-0.23566437679341673,-0.25585929656486867,-0.20191887216417953,-0.2929456235132723,-0.21317447992905814,-0.260010993703603,-0.2565815787470291,-0.2515968050124535,-0.26700006255863973,-0.22318082902770864,-0.17660896558458689,-0.2099665371529361,-0.3360234651780815,-0.13745059143186927,-0.25118662031453226,-0.25100767891546477,-0.29032859316318876,-0.23750449009464206,-0.26549986705964457,-0.23605120186018527,-0.2500386995019931,-0.26089399453644385,-0.2765039456229945,-0.2849680005561398,-0.28184893245546505,-0.27689547502320155,-0.2834569687949822,-0.23427967032981645
Belleville - Quinte West,-0.1474499451489943,-0.14881393237884907,-0.15139089440637146,-0.16172638469460118,-0.15105852836292008,-0.15303798064409457,-0.16100465240598397,-0.15938999575964205,-0.1578090796860771,-0.1507229327538712,-0.14362211850562528,-0.11479196910735913,-0.10845035742496625,-0.10996407960149213,-0.10398427484581882,-0.10913247516568021,-0.096115382258418,-0.100757723700219,-0.10097389960267908,-0.11295280995830036,-0.15979658736507454,-0.17136231650855197,-0.1122126889965161,-0.18136674435761185,-0.13772893619478538,-0.14150216283468406,-0.14860972850072277,-0.1149662800494424,-0.15179487393492744,-0.1323317993264977,-0.19954668480826013,-0.2664392401620047,-0.002322513833718221,-0.1852814618674052,-0.1819727493246098,-0.06915231464516375,-0.10282819910206753,-0.18419898324302544,-0.12493992777462518,-0.12688396121610987,-0.12415750950098703,-0.12774774647480974,-0.13808661448746207,-0.13128605885483688,-0.16476688640853593,-0.17960002978831868,-0.15232252407723992
Brandon,-0.21512912628904093,-0.22214104740552765,-0.21308106323894735,-0.20050298843388348,-0.20935892051701252,-0.21186295901194283,-0.2159363336891886,-0.216744042373858,-0.22090665947447916,-0.21561288717303598,-0.230958326862165,-0.24151532940338064,-0.2540550741276025,-0.26200771009336143,-0.25930255879273806,-0.2605045228868249,-0.23564682123262987,-0.2329004073552183,-0.2228970017672879,-0.22202267533746095,-0.23300462138041161,-0.165221928330343,-0.2594178650149076,-0.1796317769628057,-0.23710135701854929,-0.22197727885730295,-0.21618016637333873,-0.2574003935398352,-0.16887357043141654,-0.16446437141093956,-0.22559631566995003,0.5288090457360156,-0.2303511447805981,-0.21410100573072519,-0.22535708581060582,-0.27201299531428974,-0.22272784278239774,-0.2366708482203556,-0.22466289882213167,-0.22630370846029765,-0.22772069406749232,-0.2312498007014082,-0.2378068591878603,-0.2397560860724937,-0.23587825771684276,-0.2311063166127616,-0.2096613640410197
Brantford,-0.07616747427232477,-0.07933218143132723,-0.07966759921421183,-0.1024552396396622,-0.1013990871888092,-0.10334986628102555,-0.10090665176984837,-0.09971078509349841,-0.09413892657836105,-0.08082002048258208,-0.09236689197977958,-0.08373766327385429,-0.08590041795228487,-0.07985058385358791,-0.08064265703232701,-0.08635072885313336,-0.0892472544332625,-0.07621693959286198,-0.05220465873683555,-0.03862466090388699,-0.1208705661264231,-0.12871313009528168,-0.05719910618343032,-0.16902919843899025,-0.0933695906526471,-0.09564140609129412,-0.0819884802733762,-0.0960791263701684,-0.17179492641107913,-0.09994621486343817,-0.16047223851572526,-0.5795682527343502,-0.1036685720323315,-0.07402461811598393,-0.09932083820895313,-0.01724097130376173,-0.07207028649016768,-0.13569301503723763,-0.08209821634575684,-0.07776353273577993,-0.08234628591823645,-0.07386843036767353,-0.07842492962397594,-0.10016613396486235,-0.10680777499737676,-0.10979916021202449,-0.10599440338186714
Brockville,-0.27732504043857453,-0.27106999034376345,-0.26067062205264874,-0.2584932246565939,-0.256519773455948,-0.260832443621827,-0.2687593131956867,-0.2652403211712066,-0.2560626612803583,-0.2778571138369129,-0.24950462593401707,-0.2535012018303474,-0.25902575971029035,-0.26466478324758824,-0.25456403487571344,-0.2518980853909739,-0.2309475758785761,-0.2404514178497897,-0.2665642297425509,-0.2567006453937224,-0.2553112458768106,-0.19454698552126015,-0.2970375428960638,-0.22069267197321818,-0.2671908438934613,-0.25105897390997683,-0.253257886891675,-0.27761433074203334,-0.20205717809784055,-0.1651390710872533,-0.24669651666791886,-0.6143603652423887,-0.1290050865819848,-0.24783551056298345,-0.2206069759763727,-0.30720363837228676,-0.2388697238137081,-0.25451738369229643,-0.2461138823223808,-0.25616892897633825,-0.26594809848600715,-0.26911094174966604,-0.27616079945724425,-0.27645241368841744,-0.2755579570675594,-0.2710729435475752,-0.2429012712663993
