GEO_NAME,0 to 4 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,5 to 9 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,High (secondary) school diploma or equivalency certificate,"No certificate, diploma or degree","Postsecondary certificate, diploma or degree",Immigrants,Non-immigrants,Non-permanent residents,Married or living common-law,Not married and not living common-law,With children,Without children,Apartment in a building that has fewer than five storeys,Apartment in a building that has five or more storeys,Apartment or flat in a duplex,Movable dwelling,Other single-attached house,Row house,Semi-detached house,Single-detached house,"$10,000 to $19,999","$100,000 and over","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","Under $10,000 (including loss)",k3_seg,k3_2_seg,k3mix
Abbotsford - Mission,0.012504786,0.014282544,0.015918267,-0.007085755,-0.026129117,-0.01372647,-0.001692233,-0.014565492,-0.019704395,0.017489653,-0.025937421,-0.037973423,-0.029889278,-0.020656899,-0.016409333,-0.022308709,-0.013336368,-0.023703094,0.084161642,0.069042787,-0.076339044,-0.011070818,-0.015773294,0.000804832,-0.01567897,-0.034852515,0.0068794,-0.023730401,-0.01411661,-0.157127012,0.478004214,-0.316142258,-0.179678116,-0.035821967,-0.175005922,-0.096111228,0.026226541,-0.095233241,0.003283929,0.002008043,-0.019951075,-0.01517246,-0.017626832,-0.023895335,-0.041715234,-0.055196867,0.008891026,0,1,1
Alma,-0.272468433,-0.262848867,-0.260670622,-0.263383967,-0.26005944,-0.263809624,-0.26475278,-0.257600496,-0.259383587,-0.271312419,-0.258609173,-0.256334226,-0.257207216,-0.267026626,-0.275097639,-0.262276436,-0.255166763,-0.255896667,-0.291136424,-0.252939616,-0.249205769,-0.203920057,-0.294374548,-0.220307124,-0.261358619,-0.258915357,-0.251834102,-0.279955713,-0.198761289,-0.176187278,-0.154480823,-0.579568253,-0.052995543,-0.274420981,-0.215540192,-0.322741028,-0.243366964,-0.257034203,-0.251054839,-0.265678644,-0.265948098,-0.268774896,-0.279854142,-0.281129397,-0.271991243,-0.279516597,-0.245809763,0,7,7
Amos,-0.28421829,-0.278495521,-0.275313563,-0.272699668,-0.267138773,-0.272022535,-0.276245205,-0.272105091,-0.271407626,-0.282313076,-0.270748569,-0.279652196,-0.290062236,-0.299206734,-0.300720768,-0.299486622,-0.294206648,-0.300173046,-0.307342818,-0.264286451,-0.270613398,-0.204022682,-0.323173866,-0.22011435,-0.283527062,-0.27451747,-0.264292217,-0.310940011,-0.219660221,-0.176608966,-0.221949367,-0.579568253,-0.20501463,-0.277325276,-0.265891356,-0.342394281,-0.269547329,-0.264050789,-0.27322889,-0.287527411,-0.291310511,-0.291850029,-0.29363315,-0.290123595,-0.284028904,-0.285990065,-0.258586352,0,7,7
Baie-Comeau,-0.280145006,-0.274119762,-0.270161417,-0.266644463,-0.264015538,-0.266068175,-0.269919099,-0.263690212,-0.25995616,-0.276046879,-0.254000698,-0.255135639,-0.26448139,-0.280311992,-0.28334618,-0.270376613,-0.273602264,-0.282668431,-0.29383749,-0.253003362,-0.25706597,-0.203749016,-0.303974321,-0.21876493,-0.266457137,-0.263341488,-0.256461402,-0.286589631,-0.212394284,-0.175006554,-0.233671701,0.62324478,-0.171232611,-0.272410315,-0.235807327,-0.322380889,-0.258705767,-0.248721073,-0.262141864,-0.272516208,-0.274494129,-0.275271778,-0.282979278,-0.281129397,-0.271099564,-0.267976937,-0.251522872,0,4,4
Barrie,0.025194633,0.038150321,0.050763043,0.014689695,0.004686805,0.007421777,0.004212132,0.009239759,0.026674044,0.026819325,0.027341038,0.041569185,0.010967333,-0.023313972,-0.02781689,-0.0230681,-0.018397094,-0.011346895,0.078797025,0.034556055,-0.02124072,-0.070567588,0.075716828,-0.092883407,0.013474666,0.005807537,0.033871981,-0.00359451,-0.143779872,-0.101970314,-0.03543401,-0.574597951,-0.162787106,0.028072526,-0.126554801,0.153155827,0.018276063,-0.004055749,0.009912042,0.022442141,0.010833012,0.00913484,0.018170179,0.023953798,0.02092519,0.034024406,-0.002223568,0,1,1
Bathurst,-0.281711654,-0.275578348,-0.267043013,-0.261637274,-0.26005944,-0.264630915,-0.269497359,-0.25992566,-0.252856251,-0.282313076,-0.242985321,-0.250559215,-0.254903728,-0.255365027,-0.250527515,-0.248860519,-0.245045312,-0.261388311,-0.273692042,-0.235664377,-0.255859297,-0.201918872,-0.292945624,-0.21317448,-0.260010994,-0.256581579,-0.251596805,-0.267000063,-0.223180829,-0.176608966,-0.209966537,-0.336023465,-0.137450591,-0.25118662,-0.251007679,-0.290328593,-0.23750449,-0.265499867,-0.236051202,-0.2500387,-0.260893995,-0.276503946,-0.284968001,-0.281848932,-0.276895475,-0.283456969,-0.23427967,0,7,7
Belleville - Quinte West,-0.147449945,-0.148813932,-0.151390894,-0.161726385,-0.151058528,-0.153037981,-0.161004652,-0.159389996,-0.15780908,-0.150722933,-0.143622119,-0.114791969,-0.108450357,-0.10996408,-0.103984275,-0.109132475,-0.096115382,-0.100757724,-0.1009739,-0.11295281,-0.159796587,-0.171362317,-0.112212689,-0.181366744,-0.137728936,-0.141502163,-0.148609729,-0.11496628,-0.151794874,-0.132331799,-0.199546685,-0.26643924,-0.002322514,-0.185281462,-0.181972749,-0.069152315,-0.102828199,-0.184198983,-0.124939928,-0.126883961,-0.12415751,-0.127747746,-0.138086614,-0.131286059,-0.164766886,-0.17960003,-0.152322524,0,1,1
Brandon,-0.215129126,-0.222141047,-0.213081063,-0.200502988,-0.209358921,-0.211862959,-0.215936334,-0.216744042,-0.220906659,-0.215612887,-0.230958327,-0.241515329,-0.254055074,-0.26200771,-0.259302559,-0.260504523,-0.235646821,-0.232900407,-0.222897002,-0.222022675,-0.233004621,-0.165221928,-0.259417865,-0.179631777,-0.237101357,-0.221977279,-0.216180166,-0.257400394,-0.16887357,-0.164464371,-0.225596316,0.528809046,-0.230351145,-0.214101006,-0.225357086,-0.272012995,-0.222727843,-0.236670848,-0.224662899,-0.226303708,-0.227720694,-0.231249801,-0.237806859,-0.239756086,-0.235878258,-0.231106317,-0.209661364,0,4,4
Brantford,-0.076167474,-0.079332181,-0.079667599,-0.10245524,-0.101399087,-0.103349866,-0.100906652,-0.099710785,-0.094138927,-0.08082002,-0.092366892,-0.083737663,-0.085900418,-0.079850584,-0.080642657,-0.086350729,-0.089247254,-0.07621694,-0.052204659,-0.038624661,-0.120870566,-0.12871313,-0.057199106,-0.169029198,-0.093369591,-0.095641406,-0.08198848,-0.096079126,-0.171794926,-0.099946215,-0.160472239,-0.579568253,-0.103668572,-0.074024618,-0.099320838,-0.017240971,-0.072070286,-0.135693015,-0.082098216,-0.077763533,-0.082346286,-0.07386843,-0.07842493,-0.100166134,-0.106807775,-0.10979916,-0.105994403,0,1,1
Brockville,-0.27732504,-0.27106999,-0.260670622,-0.258493225,-0.256519773,-0.260832444,-0.268759313,-0.265240321,-0.256062661,-0.277857114,-0.249504626,-0.253501202,-0.25902576,-0.264664783,-0.254564035,-0.251898085,-0.230947576,-0.240451418,-0.26656423,-0.256700645,-0.255311246,-0.194546986,-0.297037543,-0.220692672,-0.267190844,-0.251058974,-0.253257887,-0.277614331,-0.202057178,-0.165139071,-0.246696517,-0.614360365,-0.129005087,-0.247835511,-0.220606976,-0.307203638,-0.238869724,-0.254517384,-0.246113882,-0.256168929,-0.265948098,-0.269110942,-0.276160799,-0.276452414,-0.275557957,-0.271072944,-0.242901271,0,7,7
